DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_05,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_26,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_38,subject_39,subject_40,subject_41,subject_42,subject_43,subject_44,subject_45,subject_46,subject_47,subject_48,subject_49,subject_50
units,,,,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points
lo,,,,-6.844,-5.656,-8.295,-9.662,-9.688,-4.842,-5.266,-9.268,-5.23,-6.844,-8.773,-5.528,-7.015,-6.402,-7.232,-4.363,-7.003,-8.848,-4.795,-9.092,-7.775,-4.377,-8.04,-6.426,-5.267,-7.382,-5.025,-8.409,-7.957,-7.752,-7.366,-9.297,-7.723,-6.855,-5.419,-5.85,-9.391,-5.515,-6.385,-7.243,-4.151,-8.767,-8.193,-4.857,-8.938,-6.127,-7.035,-4.531,-9.686,-4.287
up,,,,6.881,7.065,9.349,7.839,9.071,4.395,6.819,8.469,7.167,5.559,7.139,3.56,8.452,5.607,8.528,5.6,8.312,10.064,4.269,9.407,7.076,5.098,9.857,4.831,6.931,7.407,6.643,6.604,9.808,8.931,8.415,8.004,8.345,8.098,7.149,5.3,9.504,5.268,6.262,6.293,5.337,9.299,8.701,4.897,8.842,6.737,5.764,4.994,8.099,6.037
lo,,,,-6.844,-5.656,-8.295,-9.662,-9.688,-4.842,-5.266,-9.268,-5.23,-6.844,-8.773,-5.528,-7.015,-6.402,-7.232,-4.363,-7.003,-8.848,-4.795,-9.092,-7.775,-4.377,-8.04,-6.426,-5.267,-7.382,-5.025,-8.409,-7.957,-7.752,-7.366,-9.297,-7.723,-6.855,-5.419,-5.85,-9.391,-5.515,-6.385,-7.243,-4.151,-8.767,-8.193,-4.857,-8.938,-6.127,-7.035,-4.531,-9.686,-4.287
up,,,,6.881,7.065,9.349,7.839,9.071,4.395,6.819,8.469,7.167,5.559,7.139,3.56,8.452,5.607,8.528,5.6,8.312,10.064,4.269,9.407,7.076,5.098,9.857,4.831,6.931,7.407,6.643,6.604,9.808,8.931,8.415,8.004,8.345,8.098,7.149,5.3,9.504,5.268,6.262,6.293,5.337,9.299,8.701,4.897,8.842,6.737,5.764,4.994,8.099,6.037
1,32.0,6.0,1.0,0.043,1.034,0.888,-0.409,-1.566,0.028,1.185,1.792,0.999,0.037,-1.721,-0.978,1.200,0.302,-0.177,0.789,0.535,-0.162,0.011,1.192,1.409,0.365,0.227,-0.708,0.991,-0.182,0.974,-1.358,0.951,0.700,-0.099,0.575,0.368,1.729,1.536,-0.495,1.639,0.026,-0.429,-0.690,0.253,2.097,-0.351,0.357,0.368,0.801,-0.594,0.115,0.643,1.227
2,9.0,10.0,1.0,-1.231,2.298,1.895,-1.257,-1.684,0.060,1.098,0.365,0.685,-1.779,-1.918,-0.082,0.322,-0.548,1.346,0.197,2.193,1.770,-0.001,0.426,-0.685,0.535,1.543,-1.278,0.290,-0.205,1.631,-0.565,2.060,1.897,-0.765,-0.984,1.828,0.778,1.476,-0.132,1.443,-0.131,-0.029,0.341,0.276,1.496,-0.218,-0.073,0.230,-0.602,-0.404,-0.921,-0.399,1.207
3,12.0,4.0,1.0,0.185,0.326,2.128,0.185,-0.424,-0.472,2.056,-0.133,0.815,-0.020,-0.488,-2.159,1.924,-0.958,1.381,1.172,2.421,0.850,-0.840,0.265,-1.265,-0.038,0.193,-1.529,0.274,-0.267,0.691,2.133,-0.121,0.523,-0.050,0.482,-0.889,0.514,0.823,0.069,0.054,-0.716,-1.019,0.375,0.079,1.931,-1.001,0.099,-0.380,-0.047,-1.106,0.039,-1.785,1.245
4,25.0,6.0,1.0,0.318,1.285,-1.642,-0.902,0.979,-0.080,2.390,-1.629,1.766,-0.243,-1.279,-0.806,-0.199,-0.557,2.118,-0.007,0.058,0.083,0.065,-0.037,0.067,0.670,2.126,-1.004,0.412,-0.942,2.109,-1.169,1.564,-1.045,0.452,-0.595,0.192,1.160,0.109,-1.240,-0.038,0.975,-0.524,0.473,2.091,0.194,0.159,0.447,-0.211,0.551,0.001,0.132,-0.731,0.759
5,12.0,5.0,1.0,-0.162,1.339,1.043,-0.528,-0.981,-0.289,-0.740,-0.613,-0.017,-2.283,-0.669,-0.500,2.570,-0.732,1.787,1.393,0.400,1.455,-0.273,1.922,0.511,0.708,0.564,-1.696,0.391,1.010,0.138,-2.066,1.745,1.135,1.382,-0.461,-0.281,0.370,1.121,0.065,2.443,-0.611,-0.265,0.487,0.570,2.219,0.352,-0.419,-0.351,0.315,-1.533,0.931,-2.502,1.178
