DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_39,subject_40,subject_41,subject_42,subject_43,subject_45,subject_46,subject_47,subject_48,subject_49
units,,,,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points,points
lo,,,,-6.844,-5.656,-8.310,-9.662,-4.842,-5.266,-9.268,-5.23,-6.844,-8.773,-7.015,-6.402,-7.232,-4.363,-7.003,-8.848,-4.795,-9.092,-7.757,-4.377,-8.04,-6.426,-5.267,-5.025,-8.409,-7.957,-7.752,-7.366,-9.297,-7.723,-6.855,-5.419,-5.85,-9.391,-6.385,-7.243,-4.173,-8.767,-8.193,-8.938,-6.127,-7.035,-4.531,-9.686
up,,,,6.881,7.065,9.361,7.839,4.395,6.819,8.469,7.167,5.559,7.139,8.452,5.607,8.528,5.6,8.312,10.064,4.269,9.407,7.062,5.098,9.857,4.831,6.931,6.643,6.604,9.808,8.931,8.415,8.004,8.345,8.098,7.149,5.3,9.504,6.262,6.293,5.354,9.299,8.701,8.842,6.737,5.764,4.994,8.099
lo,,,,-6.844,-5.656,-8.310,-9.662,-4.842,-5.266,-9.268,-5.23,-6.844,-8.773,-7.015,-6.402,-7.232,-4.363,-7.003,-8.848,-4.795,-9.092,-7.757,-4.377,-8.04,-6.426,-5.267,-5.025,-8.409,-7.957,-7.752,-7.366,-9.297,-7.723,-6.855,-5.419,-5.85,-9.391,-6.385,-7.243,-4.173,-8.767,-8.193,-8.938,-6.127,-7.035,-4.531,-9.686
up,,,,6.881,7.065,9.361,7.839,4.395,6.819,8.469,7.167,5.559,7.139,8.452,5.607,8.528,5.6,8.312,10.064,4.269,9.407,7.062,5.098,9.857,4.831,6.931,6.643,6.604,9.808,8.931,8.415,8.004,8.345,8.098,7.149,5.3,9.504,6.262,6.293,5.354,9.299,8.701,8.842,6.737,5.764,4.994,8.099
1,4.0,1.0,14.0,-0.656,0.149,0.705,-0.870,-0.622,1.885,0.264,0.139,-0.669,-1.003,0.474,-0.202,0.838,0.239,0.614,-1.002,0.266,0.187,0.265,-0.314,0.639,-0.444,1.224,,,,,,,,,,,,,,,,,,,,,
2,29.0,2.0,1.0,-0.719,1.031,-0.235,-1.600,0.269,1.045,-1.274,1.689,-0.117,-0.897,2.139,0.322,1.010,1.081,1.839,-0.213,-0.101,0.582,-0.493,0.776,1.487,-2.058,1.186,-0.487,-1.081,0.340,0.040,-0.133,-0.945,0.733,1.495,0.755,-0.022,-0.325,-0.097,0.247,1.366,0.475,-0.007,0.151,1.243,-1.133,-0.506,-2.176
3,35.0,7.0,1.0,-0.059,1.409,-0.087,-1.146,-0.431,0.076,-1.185,1.103,-0.021,-0.074,-0.134,0.219,0.019,1.065,2.562,-0.563,-0.342,-1.038,-1.706,0.295,-0.878,-0.521,1.082,-0.979,0.005,1.944,-1.365,-0.664,0.676,-0.051,-0.215,0.118,-0.518,1.384,-0.771,-0.307,0.586,0.617,0.631,-0.075,1.286,-0.425,-0.077,-0.204
4,23.0,10.0,1.0,0.726,-0.508,1.230,0.510,-0.820,0.522,-1.145,1.630,-0.427,-1.739,1.560,-1.910,-0.296,0.704,1.197,0.932,0.158,-0.918,-0.189,0.959,0.323,-0.739,0.103,0.934,0.806,-0.040,2.448,1.153,-1.171,-0.023,0.562,1.162,-1.454,0.394,0.490,1.245,0.560,0.501,-1.415,-0.132,0.627,-0.824,0.310,1.368
5,22.0,7.0,1.0,0.246,0.909,-0.419,0.131,-0.113,0.486,-0.672,0.482,-1.103,-1.164,0.625,0.510,1.389,1.423,1.099,0.276,-0.507,-0.469,-1.359,-0.207,0.350,-1.336,0.424,-0.105,0.059,1.201,0.865,-0.573,-0.045,0.633,2.296,1.121,0.033,-0.344,-0.113,-0.060,-0.051,1.354,1.042,1.136,-0.112,-0.857,0.310,0.540
