item,source,wafer,group,level,level_ko,intent,expect,unit,lsl,usl,bin,metric,target,actual_metric,threshold,n_dut,fail_count,yield,note
GROSS_FAIL_L5_104,0,1,single,5,심각,GROSS_FAIL,fire,V,0.5,1.5,2,yield,0.02,0.02,0.5,2453,2404,0.02,
MIX2_GROSS-WIDE_L5_174,1,2,combo,5,심각,GROSS_FAIL;WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,(조합),,,,2453,2404,0.02,
GROSS_FAIL_L1_100,2,3,single,1,정상범위(미발화),GROSS_FAIL,not_fire,V,0.5,1.5,2,yield,0.9,0.9001,0.5,2453,245,0.9001,
NORMAL_013_377,2,3,normal,1,정상범위(미발화),,not_fire,ms,0.5,1.5,3,spread_norm,0.0505,0.0502,0.18,2453,8,0.9967,발화 0건 기대(오탐 검사)
NORMAL_016_380,2,3,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,2,spread_norm,0.0545,0.0533,0.18,2453,20,0.9918,발화 0건 기대(오탐 검사)
NORMAL_022_386,2,3,normal,1,정상범위(미발화),,not_fire,ms,0.5,1.5,2,spread_norm,0.0549,0.056,0.18,2453,20,0.9918,발화 0건 기대(오탐 검사)
GROSS_FAIL_L4_103,2,3,single,4,크게 초과,GROSS_FAIL,fire,V,0.5,1.5,2,yield,0.15,0.15,0.5,2453,2085,0.15,
MIX2_GROSS-WIDE_L1_170,3,4,combo,1,정상범위(미발화),GROSS_FAIL;WIDE_DISTRIBUTION,not_fire,V,0.5,1.5,2,(조합),,,,2453,245,0.9001,
NORMAL_023_387,3,4,normal,1,정상범위(미발화),,not_fire,CODE,0.5,1.5,2,spread_norm,0.021,0.0212,0.18,2453,20,0.9918,발화 0건 기대(오탐 검사)
NORMAL_024_388,3,4,normal,1,정상범위(미발화),,not_fire,PCT,0.5,1.5,4,spread_norm,0.0362,0.0378,0.18,2453,8,0.9967,발화 0건 기대(오탐 검사)
NORMAL_026_390,3,4,normal,1,정상범위(미발화),,not_fire,DEGC,0.5,1.5,3,spread_norm,0.0229,0.0222,0.18,2453,20,0.9918,발화 0건 기대(오탐 검사)
MIX2_GROSS-WIDE_L4_173,3,4,combo,4,크게 초과,GROSS_FAIL;WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,(조합),,,,2453,2085,0.15,
BIDIR_TAIL_L1_030,4,5,single,1,정상범위(미발화),BIDIR_TAIL,not_fire,V,0.5,1.5,2,spec_margin_min,1.2,1.1795,1.0,2453,12,0.9951,
LOW_CPK_L1_020,4,5,single,1,정상범위(미발화),LOW_CPK,not_fire,V,0.5,1.5,2,cpk,1.5,1.5301,1.33,2453,12,0.9951,
LOW_CPK_L2_021,4,5,single,2,임계값 소폭 초과,LOW_CPK,fire,V,0.5,1.5,2,cpk,1.2,1.2026,1.33,2453,12,0.9951,
LOW_CPK_L3_022,4,5,single,3,초과,LOW_CPK,fire,V,0.5,1.5,2,cpk,0.9,0.8839,1.33,2453,12,0.9951,
LOW_CPK_L4_023,4,5,single,4,크게 초과,LOW_CPK,fire,V,0.5,1.5,2,cpk,0.6,0.575,1.33,2453,12,0.9951,
LOW_CPK_L5_024,4,5,single,5,심각,LOW_CPK,fire,V,0.5,1.5,2,cpk,0.3,0.2983,1.33,2453,12,0.9951,
MEAN_SHIFT_L1_025,4,5,single,1,정상범위(미발화),MEAN_SHIFT,not_fire,V,0.5,1.5,2,center_bias,0.15,0.1505,0.3,2453,12,0.9951,
MEAN_SHIFT_L2_026,4,5,single,2,임계값 소폭 초과,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.35,0.3505,0.3,2453,12,0.9951,
MEAN_SHIFT_L3_027,4,5,single,3,초과,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.5,0.5002,0.3,2453,12,0.9951,
MEAN_SHIFT_L4_028,4,5,single,4,크게 초과,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.7,0.7002,0.3,2453,12,0.9951,
MEAN_SHIFT_L5_029,4,5,single,5,심각,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.9,0.9001,0.3,2453,12,0.9951,
NORMAL_000_364,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,4,spread_norm,0.0237,0.0235,0.18,2453,18,0.9927,발화 0건 기대(오탐 검사)
NORMAL_001_365,4,5,normal,1,정상범위(미발화),,not_fire,ma,0.5,1.5,4,spread_norm,0.0408,0.0403,0.18,2453,10,0.9959,발화 0건 기대(오탐 검사)
NORMAL_003_367,4,5,normal,1,정상범위(미발화),,not_fire,ohm,0.5,1.5,4,spread_norm,0.0619,0.0648,0.18,2453,13,0.9947,발화 0건 기대(오탐 검사)
NORMAL_006_370,4,5,normal,1,정상범위(미발화),,not_fire,PCT,0.5,1.5,3,spread_norm,0.0632,0.0644,0.18,2453,19,0.9923,발화 0건 기대(오탐 검사)
NORMAL_007_371,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,2,spread_norm,0.0616,0.061,0.18,2453,15,0.9939,발화 0건 기대(오탐 검사)
NORMAL_010_374,4,5,normal,1,정상범위(미발화),,not_fire,ma,0.5,1.5,4,spread_norm,0.0329,0.0317,0.18,2453,19,0.9923,발화 0건 기대(오탐 검사)
NORMAL_011_375,4,5,normal,1,정상범위(미발화),,not_fire,khz,0.5,1.5,3,spread_norm,0.0251,0.0253,0.18,2453,15,0.9939,발화 0건 기대(오탐 검사)
NORMAL_012_376,4,5,normal,1,정상범위(미발화),,not_fire,ohm,0.5,1.5,3,spread_norm,0.0332,0.0319,0.18,2453,16,0.9935,발화 0건 기대(오탐 검사)
NORMAL_014_378,4,5,normal,1,정상범위(미발화),,not_fire,CODE,0.5,1.5,3,spread_norm,0.0465,0.0464,0.18,2453,16,0.9935,발화 0건 기대(오탐 검사)
NORMAL_015_379,4,5,normal,1,정상범위(미발화),,not_fire,PCT,0.5,1.5,2,spread_norm,0.0492,0.05,0.18,2453,14,0.9943,발화 0건 기대(오탐 검사)
NORMAL_018_382,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,2,spread_norm,0.053,0.0494,0.18,2453,13,0.9947,발화 0건 기대(오탐 검사)
NORMAL_021_385,4,5,normal,1,정상범위(미발화),,not_fire,ohm,0.5,1.5,2,spread_norm,0.0627,0.0611,0.18,2453,17,0.9931,발화 0건 기대(오탐 검사)
NORMAL_025_389,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,4,spread_norm,0.0764,0.0759,0.18,2453,17,0.9931,발화 0건 기대(오탐 검사)
NORMAL_027_391,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,4,spread_norm,0.0889,0.0887,0.18,2453,14,0.9943,발화 0건 기대(오탐 검사)
NORMAL_029_393,4,5,normal,1,정상범위(미발화),,not_fire,khz,0.5,1.5,3,spread_norm,0.0355,0.0358,0.18,2453,16,0.9935,발화 0건 기대(오탐 검사)
NORMAL_033_397,4,5,normal,1,정상범위(미발화),,not_fire,PCT,0.5,1.5,2,spread_norm,0.0305,0.0313,0.18,2453,16,0.9935,발화 0건 기대(오탐 검사)
NORMAL_034_398,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,3,spread_norm,0.0435,0.0438,0.18,2453,18,0.9927,발화 0건 기대(오탐 검사)
NORMAL_038_402,4,5,normal,1,정상범위(미발화),,not_fire,khz,0.5,1.5,2,spread_norm,0.0846,0.0855,0.18,2453,19,0.9923,발화 0건 기대(오탐 검사)
NORMAL_039_403,4,5,normal,1,정상범위(미발화),,not_fire,ohm,0.5,1.5,4,spread_norm,0.0398,0.0393,0.18,2453,20,0.9918,발화 0건 기대(오탐 검사)
NORMAL_042_406,4,5,normal,1,정상범위(미발화),,not_fire,PCT,0.5,1.5,3,spread_norm,0.0379,0.0393,0.18,2453,15,0.9939,발화 0건 기대(오탐 검사)
NORMAL_043_407,4,5,normal,1,정상범위(미발화),,not_fire,v,0.5,1.5,4,spread_norm,0.0783,0.0767,0.18,2453,18,0.9927,발화 0건 기대(오탐 검사)
NORMAL_044_408,4,5,normal,1,정상범위(미발화),,not_fire,DEGC,0.5,1.5,3,spread_norm,0.0586,0.0594,0.18,2453,14,0.9943,발화 0건 기대(오탐 검사)
