SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SHIFT_01_L1,POS_SHIFT_01_L2,POS_SHIFT_01_L3,POS_SHIFT_01_L4,POS_SHIFT_02_L1,POS_SHIFT_02_L2,POS_SHIFT_02_L3,POS_SHIFT_02_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,CPK_LOW_02_L1,CPK_LOW_02_L2,CPK_LOW_02_L3,CPK_LOW_02_L4,CONTROL_SAME_01_L1,CONTROL_SAME_01_L2,CONTROL_SAME_01_L3,CONTROL_SAME_01_L4,CONTROL_SAME_02_L1,CONTROL_SAME_02_L2,CONTROL_SAME_02_L3,CONTROL_SAME_02_L4,CONTROL_SAME_03_L1,CONTROL_SAME_03_L2,CONTROL_SAME_03_L3,CONTROL_SAME_03_L4,CONTROL_SAME_04_L1,CONTROL_SAME_04_L2,CONTROL_SAME_04_L3,CONTROL_SAME_04_L4
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
TNO,,,,,,,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,4.111921,4.025854,3.950770,3.954725,4.111921,4.025854,3.950770,3.954725,4.604804,4.346124,3.998546,3.987355,4.604804,4.346124,3.998546,3.987355,3.820125,3.737716,3.721269,3.721269,3.820125,3.737716,3.721269,3.721269,5.320383,6.001926,5.687306,5.687306,5.320383,6.001926,5.687306,5.687306,4.717484,4.523645,3.998462,3.998462,4.717484,4.523645,3.998462,3.998462,4.863623,4.951327,4.974122,4.974122,3.608697,3.981678,3.813946,3.813946,4.766875,4.675573,4.558457,4.678399,5.225747,5.281142,5.400772,5.441147,4.726156,4.510552,4.078058,3.970000,4.726156,4.510552,4.078058,3.970000,4.806749,4.787724,4.725752,5.017221,4.806749,4.787724,4.725752,5.017221,4.824508,4.869014,5.280334,5.308666,3.959447,4.345048,3.959447,4.345048,4.166667,3.906250,3.906250,3.906250,4.166667,3.906250,3.906250,3.906250,4.687500,4.687500,4.687500,3.906250,2.894125,3.041773,3.445703,3.972771,2.894125,3.041773,3.445703,3.972771,3.819444,3.860047,3.971128,4.116072,4.463554,4.407355,4.315393,4.128343,4.463554,4.407355,4.315393,4.128343,4.486093,4.736093,5.829653,6.921675,4.486093,4.736093,5.829653,6.921675,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007,3.809007
C000001,1,2,13,1,1,,3.872912,3.842720,3.886407,3.944802,3.872912,3.842720,3.886407,3.944802,4.251681,4.075943,3.842037,3.885871,4.251681,4.075943,3.842037,3.885871,3.641391,3.638028,3.711716,3.711716,3.641391,3.638028,3.711716,3.711716,5.663781,4.119915,5.859466,5.859466,5.663781,4.119915,5.859466,5.859466,4.364282,4.247061,5.896604,5.896604,4.364282,4.247061,5.896604,5.896604,4.605055,6.248943,6.353576,6.353576,6.121529,6.313360,6.120762,6.120762,4.403739,4.364811,4.441790,4.676051,5.591936,5.620056,5.631897,5.565633,4.370163,4.230600,6.160791,6.058735,4.370163,4.230600,6.160791,6.058735,4.421128,4.374056,5.006365,5.017221,4.421128,4.374056,5.006365,5.017221,4.419240,4.430658,4.657497,4.675641,3.168309,3.669548,3.168309,3.669548,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,4.687500,4.687500,4.687500,4.947917,4.403928,4.551575,4.955505,5.482574,4.403928,4.551575,4.955505,5.482574,4.649835,4.690438,4.801519,4.946463,5.149759,5.165449,5.191122,5.241712,5.149759,5.165449,5.191122,5.241712,5.402082,5.652082,6.746258,7.846506,5.402082,5.652082,6.746258,7.846506,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551,4.273551
C000002,1,3,14,1,1,,4.187146,4.083494,3.971028,3.957848,4.187146,4.083494,3.971028,3.957848,4.715945,4.431160,4.047805,4.019296,4.715945,4.431160,4.047805,4.019296,3.876379,3.769091,3.724276,3.724276,3.876379,3.769091,3.724276,3.724276,5.212303,3.948323,3.540121,3.540121,5.212303,3.948323,3.540121,3.540121,4.828649,4.610697,6.057845,6.057845,4.828649,4.610697,6.057845,6.057845,3.530673,6.423762,6.473950,6.473950,3.505933,3.870972,3.748757,3.748757,4.883015,4.780353,4.606160,4.679988,5.109068,5.169901,5.317271,5.390793,4.838201,4.598664,6.228206,6.011884,4.838201,4.598664,6.228206,6.011884,4.928119,4.917921,5.006365,4.789980,4.928119,4.917921,5.006365,4.789980,4.952060,5.006981,5.476364,5.507902,3.725784,3.177925,3.725784,3.177925,5.208333,4.687500,4.166667,3.906250,5.208333,4.687500,4.166667,3.906250,6.770833,6.770833,7.291667,4.947917,4.718946,4.866594,5.270524,5.797592,4.718946,4.866594,5.270524,5.797592,4.823096,4.863699,4.974780,5.119723,5.750464,5.829084,5.957736,6.216357,5.750464,5.829084,5.957736,6.216357,5.405038,5.655038,6.749216,7.849490,5.405038,5.655038,6.749216,7.849490,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382,6.178382
C000003,1,4,15,1,1,,4.420474,4.262276,4.033862,3.967534,4.420474,4.262276,4.033862,3.967534,5.060675,4.694920,4.200594,4.118368,5.060675,4.694920,4.200594,4.118368,4.050866,3.866410,3.733602,3.733602,4.050866,3.866410,3.733602,3.733602,3.259329,4.204482,3.596566,3.596566,3.259329,4.204482,3.596566,3.596566,6.199501,6.679762,5.792427,5.792427,6.199501,6.679762,5.792427,5.792427,5.197427,6.280913,6.282968,6.282968,3.511883,3.655930,3.823582,3.823582,5.248983,5.128360,4.799793,4.691690,4.742756,4.810236,5.019739,5.188754,5.185733,6.774615,6.106468,5.997125,5.185733,6.774615,6.106468,5.997125,5.015485,5.011642,5.006365,5.017221,5.015485,5.011642,5.006365,5.017221,5.347696,5.434919,5.753809,5.739696,3.373313,3.771428,3.373313,3.771428,4.427083,4.166667,3.906250,3.906250,4.427083,4.166667,3.906250,3.906250,5.208333,5.208333,4.947917,4.947917,4.564348,4.711996,5.115925,5.642994,4.564348,4.711996,5.115925,5.642994,4.738067,4.778670,4.889751,5.034694,6.067140,6.178936,6.361875,6.730164,6.067140,6.178936,6.361875,6.730164,6.401168,6.651168,7.746016,8.855235,6.401168,6.651168,7.746016,8.855235,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043,3.949043
