item,case,level,level_ko,desc,expect_focus,detect_path,strength_t,solved_metric,tno,unit,lsl,usl,before_shape,before_mean,before_stdev,before_quant,after_shape,after_mean,after_stdev,after_quant
SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL,1,L1 미검출(여유),정규 → 쌍봉 (μ·σ 동일),0,ks,0.4186,0.0496,1001,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL,2,L2 미검출(임계 직하),정규 → 쌍봉 (μ·σ 동일),0,ks,0.5539,0.1001,1002,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL,3,L3 검출(임계 초과),정규 → 쌍봉 (μ·σ 동일),1,ks,0.9209,0.2408,1003,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL,4,L4 검출(크게 초과),정규 → 쌍봉 (μ·σ 동일),1,ks,3.0,0.3251,1004,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL,1,L1 미검출(여유),정규 → 쌍봉 (μ·σ 동일),0,ks,0.4186,0.0496,1005,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL,2,L2 미검출(임계 직하),정규 → 쌍봉 (μ·σ 동일),0,ks,0.5539,0.1001,1006,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL,3,L3 검출(임계 초과),정규 → 쌍봉 (μ·σ 동일),1,ks,0.9209,0.2408,1007,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL,4,L4 검출(크게 초과),정규 → 쌍봉 (μ·σ 동일),1,ks,3.0,0.3251,1008,V,0.0,10.0,normal,5.0,1.041667,,bimodal,5.0,1.041667,
SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW,1,L1 미검출(여유),정규 → 비대칭 쌍봉(소수 모드 혼입),0,ks,0.3958,0.0496,1009,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW,2,L2 미검출(임계 직하),정규 → 비대칭 쌍봉(소수 모드 혼입),0,ks,0.8308,0.0991,1010,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW,3,L3 검출(임계 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),1,ks,1.7852,0.2398,1011,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW,4,L4 검출(크게 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),1,ks,3.0,0.2696,1012,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW,1,L1 미검출(여유),정규 → 비대칭 쌍봉(소수 모드 혼입),0,ks,0.3958,0.0496,1013,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW,2,L2 미검출(임계 직하),정규 → 비대칭 쌍봉(소수 모드 혼입),0,ks,0.8308,0.0991,1014,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW,3,L3 검출(임계 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),1,ks,1.7852,0.2398,1015,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_BIMODAL_SKEW_02_L4,SHAPE_BIMODAL_SKEW,4,L4 검출(크게 초과),정규 → 비대칭 쌍봉(소수 모드 혼입),1,ks,3.0,0.2696,1016,V,0.0,10.0,normal,5.0,1.041667,,bimodal_skew,5.0,1.041667,
SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL,1,L1 미검출(여유),정규 → 삼봉(사이트 혼입),0,ks,0.604,0.0505,1017,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL,2,L2 미검출(임계 직하),정규 → 삼봉(사이트 혼입),0,ks,0.8054,0.0991,1018,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL,3,L3 검출(임계 초과),정규 → 삼봉(사이트 혼입),1,ks,3.0,0.2071,1019,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL,4,L4 검출(크게 초과),정규 → 삼봉(사이트 혼입),1,ks,3.0,0.2071,1020,V,0.0,10.0,normal,5.0,1.041667,,trimodal,5.0,1.041667,
