SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SHIFT_01_L1,POS_SHIFT_01_L2,POS_SHIFT_01_L3,POS_SHIFT_01_L4,POS_SHIFT_02_L1,POS_SHIFT_02_L2,POS_SHIFT_02_L3,POS_SHIFT_02_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,CPK_LOW_02_L1,CPK_LOW_02_L2,CPK_LOW_02_L3,CPK_LOW_02_L4,CONTROL_SAME_01_L1,CONTROL_SAME_01_L2,CONTROL_SAME_01_L3,CONTROL_SAME_01_L4,CONTROL_SAME_02_L1,CONTROL_SAME_02_L2,CONTROL_SAME_02_L3,CONTROL_SAME_02_L4,CONTROL_SAME_03_L1,CONTROL_SAME_03_L2,CONTROL_SAME_03_L3,CONTROL_SAME_03_L4,CONTROL_SAME_04_L1,CONTROL_SAME_04_L2,CONTROL_SAME_04_L3,CONTROL_SAME_04_L4
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
TNO,,,,,,,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.345759,5.777713,6.761044,6.761044,5.345759,5.777713,6.761044,6.761044,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.498194,5.436433,5.208732,4.985915,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.520787,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.989583,5.745399,5.745399,5.745399,5.745399,5.745399,5.745399,5.745399,5.745399,5.387645,5.347042,5.235961,5.091017,5.797044,5.797044,5.797044,5.797044,5.797044,5.797044,5.797044,5.797044,7.475638,7.475638,7.475638,7.475638,7.475638,7.475638,7.475638,7.475638,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336,7.024336
C000001,1,2,13,1,1,,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.052674,3.859942,3.971927,3.971927,4.052674,3.859942,3.971927,3.971927,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.111596,4.111726,4.196235,4.342629,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,4.116368,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,4.892416,4.892416,4.892416,4.892416,4.892416,4.892416,4.892416,4.892416,4.918504,4.877901,4.766820,4.621876,3.825050,3.825050,3.825050,3.825050,3.825050,3.825050,3.825050,3.825050,4.052354,4.052354,4.052354,4.052354,4.052354,4.052354,4.052354,4.052354,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597,4.655597
C000002,1,3,14,1,1,,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.551632,6.433539,4.749086,4.749086,5.551632,6.433539,4.749086,4.749086,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.728274,5.678986,5.460219,5.208781,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,5.744385,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,4.427083,5.291461,5.291461,5.291461,5.291461,5.291461,5.291461,5.291461,5.291461,5.137979,5.097376,4.986295,4.841351,5.791856,5.791856,5.791856,5.791856,5.791856,5.791856,5.791856,5.791856,4.672771,4.672771,4.672771,4.672771,4.672771,4.672771,4.672771,4.672771,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373,4.601373
C000003,1,4,15,1,1,,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.738068,4.232918,6.543396,6.543396,5.738068,4.232918,6.543396,6.543396,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.938910,5.906969,5.717842,5.461883,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.946874,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.308147,5.308147,5.308147,5.308147,5.308147,5.308147,5.308147,5.308147,5.147156,5.106553,4.995472,4.850529,6.387439,6.387439,6.387439,6.387439,6.387439,6.387439,6.387439,6.387439,4.101504,4.101504,4.101504,4.101504,4.101504,4.101504,4.101504,4.101504,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735,5.826735
