item,case,level,level_ko,desc,metric,target_t,solved_metric,expect_focus,actual_focus,ok,note,cpk_ratio_pct,stdev_delta_pct,ks_d,meanshift_sigma,p_mean,p_stdev,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk
SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL,1,L1 미검출(여유),정규 → 쌍봉 (μ·σ 동일),ks,0.4186,0.0496,0,0,1,,100.0,-2e-06,0.0496,0.0,1.0,0.16772,5.0,1.0416666754074766,1.6,5.0,1.041666653132529,1.6
SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL,2,L2 미검출(임계 직하),정규 → 쌍봉 (μ·σ 동일),ks,0.5539,0.1001,0,0,1,,100.0,-2e-06,0.0991,0.0,1.0,0.001034,5.0,1.0416666754074766,1.6,5.0,1.0416666562893084,1.6
SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL,3,L3 검출(임계 초과),정규 → 쌍봉 (μ·σ 동일),ks,0.9209,0.2408,1,1,1,,100.0,-1e-06,0.2408,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666649946584,1.6
SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL,4,L4 검출(크게 초과),정규 → 쌍봉 (μ·σ 동일),ks,3.0,0.3251,1,1,1,,100.0,-1e-06,0.3251,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666657035691,1.6
SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL,1,L1 미검출(여유),정규 → 쌍봉 (μ·σ 동일),ks,0.4186,0.0496,0,0,1,,100.0,-2e-06,0.0496,0.0,1.0,0.16772,5.0,1.0416666754074766,1.6,5.0,1.041666653132529,1.6
SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL,2,L2 미검출(임계 직하),정규 → 쌍봉 (μ·σ 동일),ks,0.5539,0.1001,0,0,1,,100.0,-2e-06,0.0991,0.0,1.0,0.001034,5.0,1.0416666754074766,1.6,5.0,1.0416666562893084,1.6
SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL,3,L3 검출(임계 초과),정규 → 쌍봉 (μ·σ 동일),ks,0.9209,0.2408,1,1,1,,100.0,-1e-06,0.2408,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666649946584,1.6
SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL,4,L4 검출(크게 초과),정규 → 쌍봉 (μ·σ 동일),ks,3.0,0.3251,1,1,1,,100.0,-1e-06,0.3251,0.0,1.0,0.0,5.0,1.0416666754074766,1.6,5.0,1.0416666657035691,1.6
SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW,1,L1 미검출(여유),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,0.3958,0.0496,0,0,1,,100.0,-2e-06,0.0496,0.0,1.0,0.720143,5.0,1.0416666754074766,1.6,5.0,1.0416666537034998,1.6
SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW,2,L2 미검출(임계 직하),정규 → 비대칭 쌍봉(소수 모드 혼입),ks,0.8308,0.0991,0,0,1,,100.0,-2e-06,0.0991,0.0,1.0,0.081374,5.0,1.0416666754074766,1.6,5.0,1.0416666577426281,1.6
