item,case,level,level_ko,desc,blind_by_design,fp_by_design,tno,unit,lsl,usl,before_shape,before_mean,before_stdev,before_quant,after_shape,after_mean,after_stdev,after_quant,th_cpk_low,th_stdev_delta_pct,th_alpha,th_cpk_high
SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL,1,L1 차이 거의 없음,정규 → 쌍봉 (μ·σ 동일),1,0,1001,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL,2,L2 자세히 보면 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1002,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL,3,L3 확실히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1003,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1004,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL,1,L1 차이 거의 없음,정규 → 쌍봉 (μ·σ 동일),1,0,1005,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL,2,L2 자세히 보면 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1006,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL,3,L3 확실히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1007,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,1008,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW,1,L1 차이 거의 없음,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1009,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW,2,L2 자세히 보면 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1010,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW,3,L3 확실히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1011,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW,4,L4 누가 봐도 완전히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1012,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW,1,L1 차이 거의 없음,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1013,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW,2,L2 자세히 보면 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1014,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW,3,L3 확실히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,1015,V,0.0,10.0,normal,5.0,1.0416666666666665,,bimodal_skew,5.0,1.0416666666666665,,1.33,15.0,0.05,100.0
