SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_01_L3,SHAPE_UNIFORM_01_L4,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM_02_L3,SHAPE_UNIFORM_02_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,DISC_GRAIN_01_L1,DISC_GRAIN_01_L2,DISC_GRAIN_01_L3,DISC_GRAIN_01_L4,DISC_GRAIN_02_L1,DISC_GRAIN_02_L2,DISC_GRAIN_02_L3,DISC_GRAIN_02_L4,DISC_TO_CONT_01_L1,DISC_TO_CONT_01_L2,DISC_TO_CONT_01_L3,DISC_TO_CONT_01_L4,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_LEVELSHIFT_01_L1,DISC_LEVELSHIFT_01_L2,DISC_LEVELSHIFT_01_L3,DISC_LEVELSHIFT_01_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,POS_SEPARATE_02_L1,POS_SEPARATE_02_L2,POS_SEPARATE_02_L3,POS_SEPARATE_02_L4,POS_OVERLAP_SAME_01_L1,POS_OVERLAP_SAME_01_L2,POS_OVERLAP_SAME_02_L1,POS_OVERLAP_SAME_02_L2,POS_OVERLAP_SAME_03_L1,POS_OVERLAP_SAME_03_L2,POS_SHIFT_SMALL_01_L1,POS_SHIFT_SMALL_01_L2,POS_SHIFT_SMALL_01_L3,POS_SHIFT_SMALL_01_L4,POS_SHIFT_SMALL_02_L1,POS_SHIFT_SMALL_02_L2,POS_SHIFT_SMALL_02_L3,POS_SHIFT_SMALL_02_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,SD_UP_MEAN_DOWN_01_L1,SD_UP_MEAN_DOWN_01_L2,SD_UP_MEAN_DOWN_01_L3,SD_UP_MEAN_DOWN_01_L4,MIX_TAIL_VS_BIMODAL_01_L1,MIX_TAIL_VS_BIMODAL_01_L2,MIX_TAIL_VS_BIMODAL_01_L3,MIX_TAIL_VS_BIMODAL_01_L4,MIX_TAIL_VS_BIMODAL_02_L1,MIX_TAIL_VS_BIMODAL_02_L2,MIX_TAIL_VS_BIMODAL_02_L3,MIX_TAIL_VS_BIMODAL_02_L4,MIX_UNIFORM_VS_SPIKE_01_L1,MIX_UNIFORM_VS_SPIKE_01_L2,MIX_UNIFORM_VS_SPIKE_01_L3,MIX_UNIFORM_VS_SPIKE_01_L4,MIX_OUTLIER_VS_TAIL_01_L1,MIX_OUTLIER_VS_TAIL_01_L2,MIX_OUTLIER_VS_TAIL_01_L3,MIX_OUTLIER_VS_TAIL_01_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,FP_LOWCPK_NOCHANGE_01_L1,FP_LOWCPK_NOCHANGE_01_L2,FP_LOWCPK_NOCHANGE_02_L1,FP_LOWCPK_NOCHANGE_02_L2,FP_LOWCPK_NOCHANGE_03_L1,FP_LOWCPK_NOCHANGE_03_L2,FP_LOWCPK_IMPROVED_01_L1,FP_LOWCPK_IMPROVED_01_L2,FP_LOWCPK_IMPROVED_02_L1,FP_LOWCPK_IMPROVED_02_L2,FP_LOWCPK_IMPROVED_03_L1,FP_LOWCPK_IMPROVED_03_L2,FP_SD_IMPROVED_01_L1,FP_SD_IMPROVED_01_L2,FP_SD_IMPROVED_02_L1,FP_SD_IMPROVED_02_L2,FP_SD_IMPROVED_03_L1,FP_SD_IMPROVED_03_L2,FP_TINY_SIGMA_01_L1,FP_TINY_SIGMA_01_L2,FP_TINY_SIGMA_02_L1,FP_TINY_SIGMA_02_L2,FP_TINY_SIGMA_03_L1,FP_TINY_SIGMA_03_L2,FP_DISCRETE_JITTER_01_L1,FP_DISCRETE_JITTER_01_L2,FP_DISCRETE_JITTER_02_L1,FP_DISCRETE_JITTER_02_L2,FP_DISCRETE_JITTER_03_L1,FP_DISCRETE_JITTER_03_L2,FP_OUTLIER_FEW_01_L1,FP_OUTLIER_FEW_01_L2,FP_OUTLIER_FEW_02_L1,FP_OUTLIER_FEW_02_L2,FP_OUTLIER_FEW_03_L1,FP_OUTLIER_FEW_03_L2
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
TNO,,,,,,,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,3.091968,4.366304,2.880713,5.143204,4.767681,3.090914,4.374742,4.377434,7.013982,4.550228,4.428384,5.600903,5.477375,4.972052,4.459529,6.448995,6.191253,5.629867,4.746872,4.287137,5.063733,5.700674,5.787600,2.579211,5.889254,4.390347,3.587873,4.463393,5.162559,5.303295,4.672776,4.698309,4.192406,4.140926,4.943307,5.377796,5.624800,4.455725,4.630340,5.296821,5.181087,2.516875,4.375641,4.268883,3.738046,4.923229,6.251834,4.865339,4.283108,5.386107,3.683332,3.386900,2.942506,7.251041,3.428212,6.152035,5.085272,5.015111,4.709581,3.677509,3.938928,3.516557,4.661098,4.258654,5.882487,5.305250,5.337048,4.419416,6.602227,5.653825,6.374313,5.116160,6.410435,4.578583,5.535896,3.765351,5.126620,4.294581,4.005817,4.786157,4.015091,4.712260,5.136500,3.865886,3.906250,5.729167,4.687500,4.166667,4.427083,5.208333,4.427083,7.031250,4.427083,4.166667,5.208333,4.166667,5.729167,4.166667,5.208333,4.166667,2.604167,6.250000,5.208333,5.208333,4.166667,4.166667,4.166667,5.208333,3.125000,4.687500,6.250000,6.250000,4.210412,2.982276,2.981339,1.128134,4.596927,3.081558,2.120586,1.769121,4.860111,4.854123,4.719360,2.724776,3.935626,4.215841,4.666391,4.683611,5.011663,5.513384,4.029799,5.410524,4.697445,4.562514,4.643767,5.501612,2.963889,6.247279,5.304047,5.197170,4.639399,4.404348,5.938581,5.168169,5.138466,3.580777,5.188487,7.179134,5.399283,5.177778,4.907045,2.734579,5.161456,3.992519,5.352263,6.343558,4.500593,6.055457,4.252818,3.914284,3.707680,4.069446,3.623041,4.609608,4.742279,5.626962,5.426659,7.440401,6.599332,6.145944,5.391053,5.506708,9.347804,6.908223,5.945445,8.858394,9.807961,9.387152,4.840175,4.706192,7.044450,4.619965,6.879696,4.480239,4.968370,4.923364,4.868128,5.133719,5.081794,4.974607,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,4.869550,5.068284,4.808163,5.304800,6.031386,4.713551
C000001,1,2,13,1,1,,5.100170,4.268679,4.175020,7.080681,6.448737,2.326844,4.893247,3.704192,4.411303,5.117238,5.225530,6.203783,4.527043,4.265476,5.593980,5.967816,7.530098,3.298395,4.777634,4.902595,3.390038,5.418720,4.458009,6.777673,6.430530,4.527755,4.804275,4.865746,4.621102,5.619994,4.002648,4.996460,7.641294,6.192792,5.023598,3.689793,5.398159,3.194453,5.827968,4.709128,4.707822,5.136078,5.996921,4.277566,6.176674,5.461423,4.559138,7.444111,5.622094,4.176969,5.327824,5.511533,5.503036,4.347916,5.717505,3.517787,3.903644,5.167142,4.793512,5.723682,4.665710,4.749343,4.859153,5.203119,7.286008,5.705484,2.709586,5.968888,5.583431,4.108458,4.738597,6.780181,6.707707,5.783941,6.421967,4.049134,4.943081,4.151323,5.700970,4.605782,6.452509,5.327745,3.252891,6.567027,4.166667,6.770833,6.510417,4.947917,3.125000,5.729167,5.468750,5.729167,3.906250,3.645833,5.208333,4.166667,6.770833,5.208333,5.208333,5.729167,4.166667,5.208333,5.729167,6.250000,6.250000,5.208333,4.166667,5.208333,4.687500,4.687500,6.250000,4.687500,4.616282,3.132683,1.737333,1.290237,4.113756,3.137423,2.712386,2.662945,6.025461,5.305081,3.334411,5.043828,3.672894,4.223183,4.632367,6.194901,4.959423,4.713926,5.072031,4.564851,2.625807,4.529855,5.361415,4.878534,6.360044,4.746479,5.300187,5.232754,5.636031,6.824565,3.668684,5.902542,6.036173,5.021571,5.272485,4.712596,5.135915,4.658024,6.810490,6.050430,4.878651,4.865834,5.911964,5.737776,6.179643,4.860428,5.527563,4.687464,5.812929,4.625903,5.702436,3.688406,3.956353,7.101381,5.851851,6.985895,5.869192,4.909457,6.502256,5.793763,7.178249,6.650946,8.448759,8.676871,6.744629,9.615590,4.451167,6.501737,4.582853,2.942897,5.924266,5.838695,5.079341,4.794777,4.996866,4.932989,5.172193,5.056684,5.000000,5.000000,6.666667,5.000000,5.000000,5.000000,3.931185,3.189833,3.812266,6.688112,3.904210,4.257540
C000002,1,3,14,1,1,,4.417469,6.013743,4.253778,5.407521,5.579071,6.076513,4.116672,6.498647,4.712636,4.444973,4.582095,4.844945,4.894606,6.952885,4.480824,4.622883,5.022184,5.547604,5.401114,3.742899,7.552546,5.952367,4.040384,5.084353,6.009680,5.131792,5.371561,5.101867,6.329644,6.120204,6.258717,3.283355,6.529719,6.906422,6.540289,5.328093,2.739821,5.331640,4.965918,4.340124,5.117359,4.697151,3.435552,7.837027,4.911982,3.844959,4.480201,4.259757,6.185262,3.136870,6.488385,4.834141,3.716120,5.754653,4.286138,5.140705,4.957053,4.833264,4.466810,5.263322,4.360970,5.662130,7.576215,5.065273,4.188656,4.136517,6.675473,5.363654,4.743666,3.126268,4.091458,3.990363,5.196317,4.945437,4.327273,5.369731,4.502779,2.643714,4.550635,5.903369,3.954570,5.376352,3.771753,4.420045,5.468750,4.427083,6.510417,3.385417,2.083333,5.468750,4.427083,7.031250,5.468750,5.729167,4.166667,8.333333,5.208333,5.208333,4.166667,5.208333,5.208333,7.291667,5.729167,5.208333,3.125000,5.208333,5.208333,6.250000,6.250000,4.687500,3.125000,4.687500,4.206107,2.927727,2.098295,0.994176,4.491097,3.210568,3.379535,0.385462,6.118980,6.617921,3.599345,7.073055,5.091146,7.752906,3.757526,6.471668,5.223343,5.961830,6.009722,5.230843,4.790999,4.131404,5.343308,5.377904,6.307642,3.024730,5.071917,4.814817,5.587600,5.673572,3.963092,4.155751,3.907954,3.881480,6.355063,5.975251,6.952859,5.715322,4.014459,5.035993,4.162556,5.459942,5.189787,3.813667,3.588861,5.231825,3.455179,4.281675,4.589626,4.468623,3.978512,4.162573,6.673093,3.533578,7.285752,6.285852,5.588529,5.762521,9.097532,6.721830,9.394703,7.404938,8.395855,7.281639,8.581831,6.692174,3.452447,5.656275,5.308702,4.659600,5.696412,4.283078,4.971353,5.036803,4.925260,5.009752,5.053414,5.122281,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,3.743043,5.383562,7.729741,4.315453,4.760736,4.031115
C000003,1,4,15,1,1,,5.163575,7.149909,6.997204,3.608381,5.276137,6.757568,4.650923,4.464479,6.645499,6.579147,3.408571,5.967867,4.991593,4.485532,2.866341,5.207994,3.205642,2.475016,5.324374,4.516864,4.566186,4.948965,4.409936,5.392339,3.575020,5.993885,6.598312,4.520621,4.932648,4.921358,5.717754,4.293217,6.001087,5.709729,4.602666,5.259849,4.095486,3.875236,4.859611,5.863291,4.446390,4.076766,7.327917,5.691018,4.718494,6.264358,4.942142,5.673608,3.843988,5.440470,5.233812,5.359599,5.127222,6.231410,4.919021,1.720912,4.967368,4.908936,3.782500,5.445719,4.674465,4.567037,5.630562,4.107756,6.542001,4.301568,5.523891,4.750877,5.395037,6.273637,5.092087,4.008956,5.908068,3.976998,4.006138,6.794862,6.052159,5.833428,5.299249,4.923462,5.428413,4.311241,5.391398,4.317523,5.468750,4.947917,7.291667,2.343750,4.166667,4.687500,5.729167,4.687500,4.947917,5.729167,5.208333,6.250000,6.250000,4.687500,6.250000,5.208333,4.687500,5.208333,5.729167,5.729167,4.166667,6.250000,4.166667,5.208333,6.250000,3.125000,6.250000,6.250000,4.172332,1.948861,1.049767,1.434000,4.439914,3.638319,2.543908,0.926924,5.235048,4.473890,4.195495,4.933477,4.438238,7.630389,5.715985,3.712748,5.824508,4.876440,4.788501,4.601278,4.110040,3.280573,3.323865,5.797687,5.595114,7.646848,5.360100,4.428317,4.411998,4.668856,5.626691,4.047953,7.288271,4.259969,4.534961,5.438188,4.419211,4.167476,4.586865,4.914215,5.716107,3.474300,5.410013,5.760976,5.039961,6.458947,5.777567,5.005071,4.650998,4.136593,5.904080,5.067490,4.396350,5.014993,6.931772,6.512024,7.310300,6.075234,7.902368,7.649110,6.347034,9.094232,9.321215,7.598002,7.936739,7.369004,4.475486,5.660888,4.338895,3.467945,6.080390,5.040546,4.996657,5.134188,4.901098,5.047531,5.011583,4.919534,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,6.715745,7.004849,4.738145,4.273621,5.549383,3.144890
