item,case,level,level_ko,desc,blind_by_design,fp_by_design,current_focus,blind_spot,over_detect,cpk_ratio_pct,stdev_delta_pct,ks_d,meanshift_sigma,median_shift,iqr_delta_pct,p_mean,p_stdev,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk
SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL,1,L1 차이 거의 없음,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-0.0,0.0248,0.0,0.0032,1.849701,1.0,0.891175,5.0,1.0416666792737408,1.6,5.0,1.0416666751388,1.6
SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL,2,L2 자세히 보면 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-0.0,0.0387,0.0,0.0149,11.949141,1.0,0.265294,5.0,1.0416666708642381,1.6,5.0,1.041666668107948,1.6
SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL,3,L3 확실히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,1,0,100.0,2e-06,0.1427,0.0,0.0477,36.067188,1.0,0.0,5.0,1.0416666499226013,1.6,5.0,1.0416666659791949,1.6
SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,1,0,100.0,-1e-06,0.2577,0.0,0.3323,45.063385,1.0,0.0,5.0,1.0416666743595033,1.6,5.0,1.041666662949018,1.6
SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL,1,L1 차이 거의 없음,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,2e-06,0.0357,0.0,0.0344,-7.86264,1.0,0.504951,5.0,1.0416666535299548,1.6,5.0,1.0416666789075695,1.6
SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL,2,L2 자세히 보면 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,0,0,100.0,-0.0,0.0297,0.0,0.0122,4.339285,1.0,0.501922,5.0,1.0416666626058562,1.6,5.0,1.0416666602074076,1.6
SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL,3,L3 확실히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,1,0,100.0,-0.0,0.1467,0.0,0.0239,38.695792,1.0,0.0,5.0,1.0416666611059675,1.6,5.0,1.041666659423889,1.6
SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL,4,L4 누가 봐도 완전히 다름,정규 → 쌍봉 (μ·σ 동일),1,0,0,1,0,100.0,-1e-06,0.2428,0.0,0.3169,42.129256,1.0,0.0,5.0,1.0416666762198754,1.6,5.0,1.0416666652385487,1.6
SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW,1,L1 차이 거의 없음,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,-1e-06,0.0268,0.0,0.0114,-3.600372,1.0,0.629292,5.0,1.0416666802367087,1.6,5.0,1.0416666704716209,1.6
SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW,2,L2 자세히 보면 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,-1e-06,0.0287,0.0,0.0034,8.089165,1.0,0.683503,5.0,1.0416666813471656,1.6,5.0,1.04166667230631,1.6
SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW,3,L3 확실히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,1,0,100.0,-2e-06,0.0565,0.0,0.005,12.140159,1.0,0.271266,5.0,1.041666679115969,1.6,5.0,1.041666656242599,1.6
SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW,4,L4 누가 봐도 완전히 다름,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,1,0,100.0,-1e-06,0.0971,0.0,0.0921,28.476738,1.0,0.054834,5.0,1.041666682516626,1.6,5.0,1.0416666676342137,1.6
SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW,1,L1 차이 거의 없음,정규 → 비대칭 쌍봉(소수 모드 혼입),1,0,0,0,0,100.0,2e-06,0.0357,0.0,0.015,2.406287,1.0,0.606992,5.0,1.041666655470078,1.6,5.0,1.0416666721560253,1.6
