SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_01_L3,SHAPE_UNIFORM_01_L4,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,SHAPE_UNIFORM_02_L3,SHAPE_UNIFORM_02_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,DISC_GRAIN_01_L1,DISC_GRAIN_01_L2,DISC_GRAIN_01_L3,DISC_GRAIN_01_L4,DISC_GRAIN_02_L1,DISC_GRAIN_02_L2,DISC_GRAIN_02_L3,DISC_GRAIN_02_L4,DISC_TO_CONT_01_L1,DISC_TO_CONT_01_L2,DISC_TO_CONT_01_L3,DISC_TO_CONT_01_L4,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_LEVELSHIFT_01_L1,DISC_LEVELSHIFT_01_L2,DISC_LEVELSHIFT_01_L3,DISC_LEVELSHIFT_01_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,POS_SEPARATE_02_L1,POS_SEPARATE_02_L2,POS_SEPARATE_02_L3,POS_SEPARATE_02_L4,POS_OVERLAP_SAME_01_L1,POS_OVERLAP_SAME_01_L2,POS_OVERLAP_SAME_02_L1,POS_OVERLAP_SAME_02_L2,POS_OVERLAP_SAME_03_L1,POS_OVERLAP_SAME_03_L2,POS_SHIFT_SMALL_01_L1,POS_SHIFT_SMALL_01_L2,POS_SHIFT_SMALL_01_L3,POS_SHIFT_SMALL_01_L4,POS_SHIFT_SMALL_02_L1,POS_SHIFT_SMALL_02_L2,POS_SHIFT_SMALL_02_L3,POS_SHIFT_SMALL_02_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,SD_UP_MEAN_DOWN_01_L1,SD_UP_MEAN_DOWN_01_L2,SD_UP_MEAN_DOWN_01_L3,SD_UP_MEAN_DOWN_01_L4,MIX_TAIL_VS_BIMODAL_01_L1,MIX_TAIL_VS_BIMODAL_01_L2,MIX_TAIL_VS_BIMODAL_01_L3,MIX_TAIL_VS_BIMODAL_01_L4,MIX_TAIL_VS_BIMODAL_02_L1,MIX_TAIL_VS_BIMODAL_02_L2,MIX_TAIL_VS_BIMODAL_02_L3,MIX_TAIL_VS_BIMODAL_02_L4,MIX_UNIFORM_VS_SPIKE_01_L1,MIX_UNIFORM_VS_SPIKE_01_L2,MIX_UNIFORM_VS_SPIKE_01_L3,MIX_UNIFORM_VS_SPIKE_01_L4,MIX_OUTLIER_VS_TAIL_01_L1,MIX_OUTLIER_VS_TAIL_01_L2,MIX_OUTLIER_VS_TAIL_01_L3,MIX_OUTLIER_VS_TAIL_01_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,FP_LOWCPK_NOCHANGE_01_L1,FP_LOWCPK_NOCHANGE_01_L2,FP_LOWCPK_NOCHANGE_02_L1,FP_LOWCPK_NOCHANGE_02_L2,FP_LOWCPK_NOCHANGE_03_L1,FP_LOWCPK_NOCHANGE_03_L2,FP_LOWCPK_IMPROVED_01_L1,FP_LOWCPK_IMPROVED_01_L2,FP_LOWCPK_IMPROVED_02_L1,FP_LOWCPK_IMPROVED_02_L2,FP_LOWCPK_IMPROVED_03_L1,FP_LOWCPK_IMPROVED_03_L2,FP_SD_IMPROVED_01_L1,FP_SD_IMPROVED_01_L2,FP_SD_IMPROVED_02_L1,FP_SD_IMPROVED_02_L2,FP_SD_IMPROVED_03_L1,FP_SD_IMPROVED_03_L2,FP_TINY_SIGMA_01_L1,FP_TINY_SIGMA_01_L2,FP_TINY_SIGMA_02_L1,FP_TINY_SIGMA_02_L2,FP_TINY_SIGMA_03_L1,FP_TINY_SIGMA_03_L2,FP_DISCRETE_JITTER_01_L1,FP_DISCRETE_JITTER_01_L2,FP_DISCRETE_JITTER_02_L1,FP_DISCRETE_JITTER_02_L2,FP_DISCRETE_JITTER_03_L1,FP_DISCRETE_JITTER_03_L2,FP_OUTLIER_FEW_01_L1,FP_OUTLIER_FEW_01_L2,FP_OUTLIER_FEW_02_L1,FP_OUTLIER_FEW_02_L2,FP_OUTLIER_FEW_03_L1,FP_OUTLIER_FEW_03_L2
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
TNO,,,,,,,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053,1054,1055,1056,1057,1058,1059,1060,1061,1062,1063,1064,1065,1066,1067,1068,1069,1070,1071,1072,1073,1074,1075,1076,1077,1078,1079,1080,1081,1082,1083,1084,1085,1086,1087,1088,1089,1090,1091,1092,1093,1094,1095,1096,1097,1098,1099,1100,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1120,1121,1122,1123,1124,1125,1126,1127,1128,1129,1130,1131,1132,1133,1134,1135,1136,1137,1138,1139,1140,1141,1142,1143,1144,1145,1146,1147,1148,1149,1150,1151,1152,1153,1154,1155,1156,1157,1158,1159,1160,1161,1162,1163,1164,1165,1166,1167,1168,1169,1170,1171,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1185,1186,1187,1188,1189,1190,1191,1192,1193,1194,1195,1196,1197,1198,1199,1200,1201,1202
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,3.949750,3.568210,3.508444,3.906612,4.058926,5.459223,4.509457,3.642327,3.368184,5.521328,6.245299,4.864581,5.691681,4.453115,4.585523,5.405586,5.436725,5.390822,4.577204,3.699748,4.734603,4.467644,3.806022,3.987089,6.538768,4.694797,4.881984,5.283346,6.557007,4.672515,3.859635,4.018815,3.999441,4.224633,4.784919,3.780176,3.487440,3.560513,4.545643,7.006579,5.156257,4.968097,5.167047,3.353305,5.306693,5.115181,4.395291,5.321859,4.721895,3.735300,5.401100,5.764232,5.983724,4.150164,3.929810,3.863317,7.281645,5.824675,5.412813,8.800168,4.805971,1.521907,5.170328,4.269792,5.049549,3.440513,5.307524,4.430706,3.874195,4.784329,4.522648,5.192006,5.447228,6.057356,4.833010,4.289988,4.273761,4.995110,5.248195,5.001600,4.692480,5.234004,3.612982,3.091739,4.166667,5.729167,6.250000,4.166667,4.947917,4.687500,5.208333,4.166667,4.908553,6.270314,4.464093,4.990626,3.645833,4.166667,4.687500,3.645833,4.166667,5.208333,3.125000,3.645833,6.250000,5.208333,5.208333,7.291667,4.687500,7.812500,3.125000,6.250000,5.921218,7.467208,7.870720,8.712480,5.824169,6.576279,7.426216,9.060172,4.218263,5.246879,3.280065,3.518406,4.558821,3.960479,5.266795,5.250754,5.613325,6.395056,6.930652,6.299621,4.267012,6.406644,5.414186,5.245462,3.813932,7.101354,2.681883,5.695469,3.934557,5.351452,4.240248,5.902279,3.340529,1.550110,4.915237,3.257221,4.391765,3.717837,4.225543,5.822835,3.527645,4.016362,6.425489,4.802355,4.947540,4.924951,5.810611,5.003199,4.673192,6.144840,5.227021,6.982421,6.312220,8.496899,7.304713,6.268419,5.556876,8.833649,7.621947,8.274208,7.399759,7.935010,6.739838,6.846955,7.950136,7.199008,5.702089,3.089548,5.798251,4.940567,4.533158,4.115595,5.072939,4.860120,4.845555,4.960385,4.878885,4.978978,6.666667,6.666667,6.666667,5.000000,6.666667,5.000000,4.198532,3.849853,6.008953,5.429336,4.977491,4.031385
C000001,1,2,13,1,1,,3.384846,4.287042,3.717225,4.120877,4.377917,4.208943,4.184546,4.083182,5.860612,4.736773,4.439950,5.841672,3.086387,5.851502,4.961282,4.263423,3.232836,4.587159,3.733126,3.850390,5.027778,6.056656,2.803346,4.092050,6.047598,5.343851,6.195820,7.052833,4.321999,4.270466,3.128442,4.782225,3.981297,5.033169,4.201504,4.533403,4.743118,6.467786,4.566248,4.882945,4.662863,5.414508,3.987954,5.364832,4.961025,5.342667,5.933831,4.938968,4.229644,5.888730,3.512736,4.061927,3.511365,5.899587,3.414043,6.068610,6.015243,4.474631,4.023734,4.329701,1.969171,5.493056,5.823858,4.829372,5.234068,4.544601,3.970378,3.987498,3.969877,5.150898,6.453370,4.917935,4.221511,5.259955,4.834609,4.958315,5.099752,4.823599,3.832200,5.001600,4.783048,4.451184,5.968159,5.691879,4.427083,5.208333,7.291667,6.250000,5.468750,5.729167,2.083333,4.166667,6.614040,4.480146,4.836648,5.155552,3.645833,4.166667,4.687500,4.166667,5.208333,3.645833,4.166667,4.166667,4.166667,6.250000,6.250000,5.208333,7.812500,4.687500,7.812500,4.687500,5.174451,7.616092,7.726362,8.718607,5.851982,6.779846,7.313903,9.469900,7.952149,7.120816,5.519268,3.710505,6.437229,4.109893,5.088354,5.325969,2.832026,5.536000,5.302482,4.339555,5.968516,7.205698,5.091309,6.494227,3.505184,4.380949,5.547913,4.815660,5.799503,0.010000,4.535812,5.901123,3.502175,5.039872,5.115696,4.599805,3.833571,4.058023,3.789476,3.610639,3.879246,4.194753,4.961311,4.279714,4.947540,5.369729,6.096491,5.006582,4.937771,7.998800,7.267823,6.524594,7.044648,9.523940,7.306004,6.408314,6.752172,7.444130,7.977771,6.598305,7.087649,7.109408,8.681522,6.797337,6.751469,7.555714,6.206390,5.512690,4.367728,6.673049,5.395502,5.300527,4.994770,5.106684,4.976694,5.056562,5.057985,5.218068,6.666667,6.666667,5.000000,6.666667,5.000000,6.666667,4.947157,3.632654,3.449839,5.189151,3.841809,5.368366
C000002,1,3,14,1,1,,4.067948,4.370993,3.913105,4.204401,4.022644,3.711294,3.754872,3.784229,5.773043,4.974631,6.128373,3.458772,6.192585,5.617421,4.918288,3.536202,3.533367,4.877407,3.202536,3.740497,4.409961,3.661849,3.583926,3.510789,4.988902,6.087112,5.173655,5.018865,5.819330,3.738438,5.425092,5.277031,6.765595,4.609740,5.572423,4.992375,4.481448,6.894586,6.122496,5.306839,4.637482,4.806296,7.019288,5.978177,4.636056,5.214075,5.125927,5.321966,6.541201,4.549595,6.357151,4.767035,7.090006,5.900206,5.866605,5.731295,4.320505,6.591746,4.752769,4.676626,4.581170,3.475600,4.796307,4.739902,4.249706,7.649208,4.502832,4.934735,5.558890,3.835642,5.335330,6.180855,4.888287,5.046512,4.994239,4.958315,4.180845,5.002784,3.671506,3.524766,4.866889,4.675419,5.884192,5.914901,3.906250,5.729167,6.250000,4.166667,4.947917,5.729167,5.208333,4.166667,4.588440,5.847640,5.309191,5.225996,4.166667,3.645833,3.645833,4.166667,5.729167,3.645833,3.645833,3.645833,5.208333,7.291667,5.208333,5.208333,6.250000,4.687500,6.250000,3.125000,6.240760,6.697090,6.717716,8.849756,6.289148,6.680752,7.538725,9.708159,5.705958,4.728555,4.390470,5.110444,5.182690,4.089628,4.170100,4.221637,4.893869,4.236410,5.031065,6.341567,5.186792,4.905096,4.767265,3.902474,6.753352,7.680833,6.489891,5.656886,4.359127,3.925629,5.051311,3.818297,5.473956,4.842681,4.630394,4.348470,3.882699,4.105792,5.527558,4.863419,4.113592,3.865213,4.208823,5.007538,6.887429,4.924951,5.765447,4.617578,4.791670,5.466025,4.177135,5.305707,6.687046,8.922043,6.015468,6.643369,8.720391,7.462989,5.478959,5.912656,6.359051,5.248502,6.496198,5.425070,8.832855,6.156993,4.634732,5.008151,4.681501,4.163345,5.129407,5.800931,4.920887,4.910176,5.192662,4.927609,4.884636,5.043706,5.000000,6.666667,5.000000,5.000000,5.000000,6.666667,5.313172,4.808936,5.975397,3.401882,4.988559,5.021893
C000003,1,4,15,1,1,,4.572001,4.928601,4.133944,3.882597,5.399692,3.769556,4.099037,4.392595,5.554263,3.670172,4.951919,5.179006,6.505651,5.270710,5.160447,4.962863,2.754395,4.711934,3.901311,3.474036,4.199776,3.923070,3.865371,3.616315,5.521210,4.684310,5.707786,7.083015,4.848113,2.877251,6.466875,4.848444,5.128163,6.346289,5.913193,8.427306,4.075411,4.378683,4.173243,3.492025,4.089993,4.709670,5.462272,5.026884,4.789332,6.845155,6.715380,5.333538,4.478297,5.140183,3.215677,3.226171,6.286351,3.591964,6.294189,5.538780,5.702391,4.018278,5.434356,5.225294,4.427455,6.314165,3.968767,5.342081,4.360383,5.564779,6.323257,4.914694,4.726453,3.863167,3.564202,4.394304,5.837101,7.561725,5.691795,4.958315,4.992732,4.995110,5.594232,5.001600,6.117704,4.798084,3.805593,4.416600,7.031250,3.645833,5.208333,4.166667,6.250000,5.208333,5.208333,6.250000,2.519164,3.260146,2.956593,5.856457,3.125000,5.208333,4.166667,4.166667,5.208333,5.208333,3.645833,4.166667,6.250000,7.291667,7.291667,8.333333,3.125000,4.687500,4.687500,4.687500,6.024960,7.457644,8.530136,9.237661,4.844879,7.205188,8.287255,8.754141,8.039831,2.845311,7.037037,2.754023,4.407413,6.268374,5.308785,3.926561,4.637563,5.104793,3.943004,4.181469,6.737384,6.904406,3.376358,3.933402,3.993501,1.766713,6.316155,4.353764,5.185642,7.282263,5.043882,2.365609,3.883224,4.568470,1.238087,4.707750,4.313399,4.101495,3.343850,4.123792,3.955330,4.477340,5.428325,5.007538,4.580537,4.970409,5.398230,4.448295,4.227326,8.098522,4.243734,7.354246,7.354378,6.605438,6.306548,7.446287,6.954931,6.772487,6.349331,6.881216,7.247846,7.284235,8.347901,7.394061,7.667403,4.992806,6.045754,5.867325,4.830337,4.821941,4.071871,5.248092,5.012978,4.947108,5.101091,4.952072,4.947937,5.138633,5.000000,6.666667,6.666667,5.000000,5.000000,5.000000,4.055717,3.783435,4.533860,5.372662,4.877565,4.338723
