SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
TNO,,,,,,,1101,1201,1301,1102,1202,1302,1103,1203,1303,1104,1204,1304,1105,1205,1305,1106,1206,1306,1107,1207,1307,1108,1208,1308,1109,1209,1309,1110,1210,1310,2101,2201,2301,2102,2202,2302,2103,2203,2303,2104,2204,2304,2105,2205,2305,2106,2206,2306,2107,2207,2307,2108,2208,2308,2109,2209,2309,2110,2210,2310,3101,3201,3301,3102,3202,3302,3103,3203,3303,3104,3204,3304,3105,3205,3305,3106,3206,3306,3107,3207,3307,3108,3208,3308,4101,4201,4301,4102,4202,4302,4103,4203,4303,4104,4204,4304,4105,4205,4305,4106,4206,4306,4107,4207,4307,4108,4208,4308,5101,5201,5301,5102,5202,5302,5103,5203,5303,5104,5204,5304,5105,5205,5305,5106,5206,5306,5107,5207,5307,5108,5208,5308,6101,6201,6301,6102,6202,6302,6103,6203,6303,6104,6204,6304,6105,6205,6305,6106,6206,6306,7001,7002,7003,7004,7005,7006,7007,7008,7009,7010,7011,7012,7013,7014,7015,7016,7017,7018,7019,7020,7021,7022,7023,7024,7025,7026,7027,7028,7029,7030,7031,7032,7033,7034,7035,7036,7037,8101,8102,8103,8104,8105,8301,8302,8303
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9.2
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8
C000000,1,1,18,0,1,,4.532168,7.555603,7.001860,6.486780,4.163966,7.099942,6.549330,6.518601,5.926518,5.200991,6.441312,6.812499,5.745140,7.425449,6.743014,4.850532,5.041440,7.268391,5.067344,5.315401,8.763709,4.695973,6.225361,6.264305,5.401301,6.230581,9.287545,4.025609,6.146630,7.591627,3.904991,3.624491,5.152168,5.436588,4.821574,5.150962,1.117228,2.527002,6.548008,4.377310,5.383197,5.244675,5.447392,5.113741,4.176806,5.546209,6.293921,5.350239,4.004612,4.746382,5.272693,4.281131,6.172277,6.489899,4.711708,5.414941,3.392084,4.304117,6.145170,6.599709,5.181205,5.495300,5.203923,4.640318,6.743799,5.000981,2.424920,6.156427,4.329890,4.869230,5.738531,4.721067,5.147588,7.650296,5.497157,5.217655,5.039966,5.660837,2.491517,4.410603,4.575945,5.208243,4.559368,4.470256,2.788722,5.088150,4.939787,5.770621,2.955962,5.532948,5.141512,6.793117,7.554376,4.324193,5.219179,3.735183,3.516721,4.724711,5.618074,4.635419,4.452128,5.201703,3.275813,3.246834,4.144928,4.305597,4.399912,3.698027,4.178701,3.749801,4.125221,3.289287,3.593060,4.608248,4.142778,3.752668,3.430440,4.285235,4.080580,3.597513,3.653807,4.316919,4.015710,4.472398,3.619042,4.039053,3.942143,3.767379,3.264729,3.013299,4.124489,3.617477,5.953793,3.322049,2.407759,3.930972,5.670669,3.688313,6.285100,6.182521,2.366620,4.301034,5.404743,4.607981,4.938023,4.667137,6.561201,4.569992,5.182122,5.582753,6.431273,5.790338,5.452781,4.073583,3.701802,4.718791,3.527033,5.890742,6.248266,3.094311,5.753448,4.858867,3.996778,5.548990,4.234680,4.034145,3.621979,4.061600,5.372261,4.801324,5.514839,4.410848,5.855589,5.710757,4.284491,6.362594,4.983527,4.424823,4.886063,5.290991,3.648748,5.135698,4.721487,5.899010,4.381289,3.232665,6.273286,3.700438,7.146066,6.175184,5.249956,4.477778,6.297548,4.692012,6.483692
C000001,1,2,13,1,1,,6.946610,6.448670,7.619708,5.682811,5.913568,7.209315,7.272572,7.646880,7.733925,6.216152,6.329913,8.609950,4.776700,6.762617,7.448532,4.828228,6.678919,7.296905,5.839119,6.428710,7.634349,4.710324,5.915678,7.032111,5.715371,5.007062,8.285765,5.758447,7.491134,7.556718,6.027752,6.388203,7.022095,3.754266,3.853647,6.058816,3.277722,4.036991,6.162629,6.714647,5.340814,0.866384,6.313842,4.759343,2.121528,3.368478,4.438181,3.742015,5.025320,8.397058,3.084741,4.756264,5.021960,4.183454,4.517490,4.900497,5.614947,5.069929,4.653865,4.314112,3.919845,4.830392,4.823954,5.211430,4.694765,5.266774,5.866503,6.406706,4.735311,5.676201,4.223213,4.245721,6.485004,4.270782,5.065001,5.090925,4.706628,5.886957,2.342859,5.914464,5.020971,4.849498,5.066952,5.726766,6.542759,4.106521,3.058476,5.512744,4.568923,4.978160,4.304186,3.438007,4.546903,4.892182,5.926107,7.812312,5.615172,4.991473,2.686135,3.701135,5.981484,3.340103,5.917919,4.347934,4.842123,4.449546,4.641675,1.923908,4.361948,3.630652,5.052441,3.989120,4.269556,4.218187,4.013950,3.883669,3.364950,3.836456,4.451699,2.701872,3.389932,3.544306,4.466197,3.988073,2.883638,3.194404,3.696054,3.051035,4.218533,3.519097,3.981368,3.668181,3.585858,3.970101,5.660325,5.754533,5.155118,5.221695,4.946758,6.160471,6.272408,4.577014,4.175691,3.021693,6.499098,5.870162,3.755184,3.477013,7.324027,4.892858,5.047592,4.999085,5.191616,5.356997,5.496579,3.782859,5.131786,3.859155,5.699692,4.046156,5.263076,3.864523,5.011188,5.436882,5.375745,3.411345,4.150349,3.637004,4.679574,6.338167,6.360069,5.768631,5.695727,3.877378,6.751153,4.939469,3.994996,3.705096,4.677406,4.807092,3.945604,3.542918,5.162666,3.323575,3.936111,2.702424,5.177606,6.207324,3.975426,4.697451,6.259048,4.051095,5.222458,4.831435,5.812071
C000002,1,3,14,1,1,,4.808390,4.986466,8.077978,6.150498,5.004688,5.281362,6.728471,7.310370,6.212003,6.547483,4.315911,7.418911,4.775993,7.326108,6.755511,6.156385,6.561763,5.284576,4.543874,5.333399,5.471328,5.123893,7.071068,6.531581,4.407612,4.880400,5.688996,5.872219,8.270370,6.773148,6.635074,5.029315,4.822625,6.699238,3.046404,3.195735,4.438327,5.893133,3.255120,4.449171,3.185659,7.182508,4.959636,3.237159,3.362048,4.552557,5.817323,5.192794,6.892251,5.474559,6.703873,5.421324,3.787728,5.789076,6.481099,6.370409,7.300504,2.966999,5.128607,7.225923,5.249959,4.944131,5.316756,6.063971,3.796467,5.557637,4.318784,5.706530,4.307257,6.220353,4.834532,6.295840,5.426115,5.646533,4.781914,7.094082,5.980889,4.800434,6.538981,5.012545,4.493790,5.295457,5.429149,5.260200,5.939490,8.982862,6.843920,4.191578,4.585823,4.638934,5.227694,4.484391,6.640136,3.504393,6.512128,5.001238,4.323002,4.196496,4.727049,5.770401,5.989443,3.863667,3.400742,4.041987,5.849158,5.542244,4.700135,5.072070,4.403187,3.904221,3.856430,3.546207,3.381762,2.837816,4.207425,3.858603,4.250792,4.057102,5.259021,3.463581,3.666942,4.535429,4.744229,4.352917,4.674118,4.286384,3.146093,3.409101,4.127258,4.081408,3.701226,4.229570,6.365368,6.393853,7.328027,3.979200,5.766695,4.624028,6.835948,5.012447,5.971091,5.615814,3.020511,2.202685,5.733062,5.276115,2.828961,5.816091,4.705257,3.491861,5.062939,5.996112,6.247267,4.597456,5.177770,5.398182,5.711163,5.317476,6.942319,4.647617,6.241304,4.736827,5.563312,3.919794,4.841537,4.214653,2.723720,4.649441,4.580066,5.160872,6.012988,4.313499,3.392251,5.047609,5.369921,6.524430,4.218881,5.675202,5.677177,4.590355,5.546102,3.283910,5.852761,6.134173,5.721198,2.219934,4.096849,3.849169,4.222104,4.456209,5.149033,4.680018,4.813574,4.217387,4.208402
C000003,1,4,15,1,1,,6.161231,5.117898,7.435136,3.867376,6.219009,7.046407,4.905888,4.841998,5.607070,5.658083,6.706202,7.415524,5.263654,4.823430,7.961853,4.794695,6.197570,7.241053,7.717251,6.571756,5.356564,2.675264,4.911422,6.947361,4.294301,5.860410,7.713416,4.707944,6.560582,7.449850,6.071300,4.206987,4.571107,4.175618,3.988207,5.105980,3.797093,2.803602,5.187270,5.729294,5.144676,4.257304,5.910453,4.442369,1.943534,5.958461,4.093035,7.994319,6.268966,5.200032,7.197392,3.629880,4.703769,5.104402,4.607000,5.443488,5.280402,2.146830,5.476534,3.277413,5.521786,4.603291,4.274029,5.146548,5.114568,6.011372,4.312436,5.737872,4.827772,4.341859,3.853782,4.880385,5.505588,5.776558,4.555763,3.641667,4.262837,5.417854,3.053337,5.677077,5.663233,5.245486,3.783334,5.135072,5.141788,5.030754,8.298112,4.999007,7.580640,3.652440,4.608971,6.400477,9.990000,4.339603,4.166587,6.318573,4.801628,4.309077,3.568205,6.632796,3.915196,6.648185,3.562772,5.206642,3.460528,3.694061,3.246232,4.456793,3.853478,3.884173,3.029190,4.220153,3.682707,2.815834,4.027140,3.331394,2.390865,3.981211,4.301932,4.731127,3.527797,4.031224,2.859824,3.726561,3.884810,2.773896,3.765506,3.233874,4.275995,4.002310,3.821400,3.588463,5.593270,6.033217,5.965701,5.531632,1.971589,5.947297,4.924739,5.987589,4.091828,5.091304,5.886065,1.533451,4.485620,5.893772,7.166415,6.024080,4.306834,4.823720,5.887029,6.981207,5.134963,5.689130,4.230662,3.862918,2.494925,3.065046,5.875511,4.024238,5.587761,4.430376,4.930534,4.719354,5.118979,5.901449,5.836880,4.234347,5.862194,4.835248,4.461348,5.215153,5.483075,3.755776,3.413426,7.264111,5.184931,5.356174,4.778268,4.612793,3.650770,5.114473,4.678210,6.240477,7.706248,5.955242,5.267450,4.731196,4.556201,3.512044,5.753573,4.884829,5.985856,4.563082,4.173043
