item,group,shape,level,level_ko,tno,unit,before_lsl,before_usl,after_lsl,after_usl,target_before_mean,target_before_stdev,target_after_mean,target_after_stdev,expect_focus,expect_reason,th_cpk_low,th_stdev_delta_pct,th_alpha,th_cpk_high
MEAN_SHIFT_01_L1,shape,mean_shift,1,차이 거의 없음(미검출),1101,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_01_L2,shape,mean_shift,2,검출(임계 소폭 초과),1201,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_01_L3,shape,mean_shift,3,심하게 검출,1301,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_02_L1,shape,mean_shift,1,차이 거의 없음(미검출),1102,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_02_L2,shape,mean_shift,2,검출(임계 소폭 초과),1202,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_02_L3,shape,mean_shift,3,심하게 검출,1302,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_03_L1,shape,mean_shift,1,차이 거의 없음(미검출),1103,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_03_L2,shape,mean_shift,2,검출(임계 소폭 초과),1203,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_03_L3,shape,mean_shift,3,심하게 검출,1303,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_04_L1,shape,mean_shift,1,차이 거의 없음(미검출),1104,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_04_L2,shape,mean_shift,2,검출(임계 소폭 초과),1204,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_04_L3,shape,mean_shift,3,심하게 검출,1304,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_05_L1,shape,mean_shift,1,차이 거의 없음(미검출),1105,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_05_L2,shape,mean_shift,2,검출(임계 소폭 초과),1205,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_05_L3,shape,mean_shift,3,심하게 검출,1305,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_06_L1,shape,mean_shift,1,차이 거의 없음(미검출),1106,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
MEAN_SHIFT_06_L2,shape,mean_shift,2,검출(임계 소폭 초과),1206,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,6.125,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_06_L3,shape,mean_shift,3,심하게 검출,1306,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,7.34375,1.0416666666666665,1,cpk,1.33,15.0,0.05,100.0
MEAN_SHIFT_07_L1,shape,mean_shift,1,차이 거의 없음(미검출),1107,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.2,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
