SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,REMOVED_ITEM_01,REMOVED_ITEM_02,REMOVED_ITEM_03,REMOVED_ITEM_04,REMOVED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
TNO,,,,,,,1101,1201,1301,1102,1202,1302,1103,1203,1303,1104,1204,1304,1105,1205,1305,1106,1206,1306,1107,1207,1307,1108,1208,1308,1109,1209,1309,1110,1210,1310,2101,2201,2301,2102,2202,2302,2103,2203,2303,2104,2204,2304,2105,2205,2305,2106,2206,2306,2107,2207,2307,2108,2208,2308,2109,2209,2309,2110,2210,2310,3101,3201,3301,3102,3202,3302,3103,3203,3303,3104,3204,3304,3105,3205,3305,3106,3206,3306,3107,3207,3307,3108,3208,3308,4101,4201,4301,4102,4202,4302,4103,4203,4303,4104,4204,4304,4105,4205,4305,4106,4206,4306,4107,4207,4307,4108,4208,4308,5101,5201,5301,5102,5202,5302,5103,5203,5303,5104,5204,5304,5105,5205,5305,5106,5206,5306,5107,5207,5307,5108,5208,5308,6101,6201,6301,6102,6202,6302,6103,6203,6303,6104,6204,6304,6105,6205,6305,6106,6206,6306,7001,7002,7003,7004,7005,7006,7007,7008,7009,7010,7011,7012,7013,7014,7015,7016,7017,7018,7019,7020,7021,7022,7023,7024,7025,7026,7027,7028,7029,7030,7031,7032,7033,7034,7035,7036,7037,8201,8202,8203,8204,8205,8301,8302,8303
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LOLIM,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C000000,1,1,18,0,1,,5.562667,3.135675,6.104520,4.441213,5.352092,5.126362,5.053333,3.814775,8.227112,5.587342,4.781805,5.599665,2.762898,6.307417,6.560084,5.170536,4.720194,4.098561,5.312853,3.130910,5.959560,3.561662,4.580536,5.926086,2.858196,3.882475,4.712671,4.954066,6.281225,6.138537,4.261599,5.620061,5.124296,3.852844,3.980090,4.517914,5.186752,5.442056,6.175327,6.229029,4.750934,6.218762,3.797228,5.061300,5.603925,5.698050,4.613347,5.183742,5.310130,5.292974,4.427452,4.810479,4.615653,5.863651,5.681910,5.327243,4.920395,4.533170,5.942813,4.831398,5.091373,4.794166,5.002141,4.934838,4.986849,4.593544,4.364497,4.497121,3.497250,3.030910,4.882950,5.655690,5.491522,4.233579,5.514278,4.272113,5.879046,5.904093,5.454343,4.592782,5.649107,6.671537,3.265254,3.881052,4.757630,6.094301,4.596882,4.539193,4.378605,5.757122,2.998074,4.433209,4.805455,6.020645,4.562492,4.438419,5.724017,3.919041,5.080085,5.884709,7.400084,4.596154,4.046178,5.781739,5.133897,4.404851,5.453320,4.933251,4.050754,3.481580,3.621287,3.613098,3.725833,4.468162,4.265836,3.897881,4.228289,4.749004,4.085644,4.486037,3.548748,4.611021,3.494965,4.160598,3.620832,3.633105,4.169367,3.979760,4.894171,3.937655,4.670991,4.298338,4.684171,3.724550,4.101125,3.052904,6.834975,4.374227,3.672976,5.070733,5.803873,3.787205,2.608210,5.339565,4.840950,5.814394,5.660693,4.806577,5.226350,3.809598,5.763622,3.946675,6.343567,4.720157,4.246221,4.222071,4.223957,5.628989,7.825535,6.170874,7.075416,4.065620,6.301240,5.399166,5.928245,4.771684,5.237588,5.522357,5.129046,7.603637,4.907214,3.515220,4.283593,3.163703,5.555643,6.385967,3.533485,3.545337,4.909883,4.433471,5.547896,5.535462,4.470023,5.624082,5.010380,5.400893,5.474056,5.397000,3.399111,3.292227,2.824034,5.873205,4.479430,4.425114,4.045392
C000001,1,2,13,1,1,,2.991730,1.888878,4.207075,4.909283,5.939778,5.893295,6.710043,4.181234,4.328090,4.613569,5.556595,4.978802,6.279065,5.877652,5.544377,7.019760,4.020102,4.791052,6.007158,6.054075,5.145248,4.888510,5.473086,3.107845,5.594340,4.130365,4.536061,6.726737,4.763400,5.431511,4.763459,6.206675,3.930565,6.315617,4.641957,5.429244,4.660975,5.496553,6.056664,5.958148,5.921963,6.281435,4.595715,3.813215,3.700608,4.810849,5.558875,6.028266,6.264229,3.158294,5.219464,4.975029,5.022370,5.370420,4.937974,3.354724,5.026392,5.948439,3.145818,3.888356,3.177715,4.471507,3.911507,5.794469,4.410707,2.675627,3.313656,5.543389,5.875830,6.943904,5.952831,2.407009,5.875483,4.836981,4.142808,4.892526,5.342333,6.287185,5.648235,4.365817,6.861792,4.231676,5.551560,4.968109,5.417738,4.549423,4.966895,4.026105,4.373917,3.321209,4.360095,4.155872,4.649153,4.165416,5.598898,3.997436,5.712342,5.328972,6.006316,2.989391,2.679343,4.650595,3.942348,4.519776,4.358530,4.958401,5.532569,4.295996,3.864304,4.228492,3.841448,4.441740,4.099313,4.274406,3.694359,4.195081,4.011525,4.280432,3.271114,3.411848,4.245115,4.380647,4.445815,3.955099,3.924394,4.057861,4.019387,3.751217,3.995567,3.925092,3.671592,3.780677,3.752428,6.053751,5.060421,4.630474,6.582484,5.675114,4.690595,3.953671,3.291986,5.073697,5.968263,3.489993,6.142068,6.600879,5.540496,5.659582,5.088043,4.944273,4.516904,6.269609,4.274117,4.000425,4.811885,4.436780,5.891523,2.884999,3.050517,4.879535,5.469592,6.067738,5.416173,4.913102,5.280917,5.742440,4.825632,4.330512,4.026752,4.822178,6.370285,4.542412,4.749427,5.243674,4.551868,5.447974,4.643721,4.122834,5.777632,5.156123,5.014203,4.093847,5.665399,5.884987,3.913378,4.687149,6.733855,5.904434,5.629914,6.731762,5.097771,3.490869,4.061719,5.544832,3.830592
C000002,1,3,14,1,1,,5.202175,5.790704,3.455230,3.200242,5.063750,4.698023,6.118126,5.133601,5.996507,5.161176,6.166574,4.002107,5.228817,5.296729,4.107531,5.007495,5.049126,4.588080,4.861791,5.738746,3.477157,5.899397,4.545575,4.552112,4.664472,2.622282,5.260154,6.907740,4.503484,4.101078,3.788805,1.039123,4.325691,4.491722,3.494425,4.130244,3.971724,5.056519,2.720485,4.123564,5.059740,5.490528,5.515421,5.190180,5.046770,5.600321,4.709271,4.360252,4.577789,5.239310,4.942411,5.202913,6.027443,4.235269,5.490047,4.235257,4.845118,4.239181,7.660876,4.858127,4.533580,2.416345,5.083967,5.916617,7.319410,5.434272,4.975540,5.630240,5.811372,5.160718,4.579211,3.209194,5.165046,4.903857,5.386324,5.753336,3.246691,4.383731,3.591152,5.545445,5.279109,3.178127,5.513100,4.673923,4.685535,4.925744,4.856704,5.067321,4.855900,3.293553,6.955343,4.085031,6.232856,4.913846,6.385581,7.205269,4.275560,3.057910,4.891655,4.190814,5.650788,4.147449,6.044212,3.552108,5.405073,4.591194,5.447171,5.208018,4.338781,3.228430,3.687163,4.594191,3.654440,4.382065,4.140058,4.549495,5.037097,4.403531,4.040774,3.860775,3.523872,4.673898,4.626141,3.587074,3.619732,4.369840,3.699872,3.759922,3.253522,3.638583,3.747533,4.639050,4.448920,5.349551,4.357835,6.510100,2.424054,6.551429,5.995476,4.613281,3.995969,5.439520,6.495714,3.683286,5.325863,4.689273,5.244980,4.312140,3.128767,5.154999,3.676330,4.619323,4.164104,4.957870,3.301575,5.591871,6.014748,4.016826,4.845492,2.659217,6.002285,3.992484,6.296598,4.974602,5.749910,4.345096,4.227733,3.637460,2.823966,4.017823,3.758216,3.973791,5.168980,3.636804,3.459148,6.887063,6.013188,4.962663,4.058660,4.293090,6.095961,5.561651,6.427450,5.566289,5.119172,4.534914,5.087249,4.331686,5.629439,6.442132,4.709533,5.447425,5.056656,5.004832,6.483476
C000003,1,4,15,1,1,,5.430248,5.780995,5.337451,4.861188,6.083922,6.392636,5.961306,4.692716,6.005815,3.578182,5.479569,7.220041,5.054122,6.005190,3.910436,4.485872,5.379095,5.153256,5.272801,2.361447,5.324581,5.055964,6.635075,4.778968,5.445480,4.529771,5.302972,4.739900,4.967780,5.638528,6.855341,6.051364,3.870148,4.983234,3.771430,4.883918,1.586029,2.776823,4.794214,5.894855,4.640211,4.474354,6.815904,4.977655,5.790019,7.271608,4.717419,3.775554,5.300191,4.935160,5.824282,3.637626,4.264634,4.797326,6.099762,5.106974,4.231050,4.961388,4.478020,4.815454,4.108884,3.306398,4.451356,5.494257,4.092358,4.170493,6.652273,7.170317,5.648451,6.413223,4.619768,3.945039,5.024635,4.448089,2.527757,3.288300,4.224624,2.222691,4.207317,3.351948,7.162507,4.526968,5.171018,4.585734,5.756968,4.501797,3.763503,6.139093,2.348396,4.976536,4.768536,5.210002,4.123599,3.321486,4.179060,4.179269,4.841541,6.639880,6.007032,4.914604,4.226227,4.165741,5.017318,5.660204,5.034924,3.696986,4.908812,6.446406,3.068134,4.080815,4.365817,4.289219,3.505644,3.364517,3.192099,4.341671,3.329277,4.412703,3.738160,3.832534,3.185881,3.611186,4.206761,3.918934,4.463677,3.981515,3.507724,4.252455,3.756830,4.839867,4.064485,4.344604,4.098957,5.306212,5.560248,4.426135,7.384516,5.020998,5.386373,3.852501,4.782399,6.928701,3.150464,5.824842,3.783898,3.455068,5.991279,5.470224,6.239348,5.989089,4.557632,2.834263,6.351053,3.377035,5.114956,6.208522,5.918351,5.343778,4.873191,6.153572,3.324074,4.562030,5.041798,5.339002,5.244083,4.505721,5.717368,5.157876,5.993161,5.810473,5.810916,5.098966,3.975235,7.691579,3.846805,4.543718,4.003367,4.583135,3.648104,6.060862,6.103194,5.323872,5.503717,5.525957,3.785194,6.137163,5.484381,3.739981,4.975776,4.659042,5.787349,3.881275,6.332352,4.370935,3.999926
