item,group,shape,level,level_ko,expect_focus,actual_focus,expect_reason,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk,stdev_delta_pct,meanshift_sigma,p_stdev,ok,note
MEAN_SHIFT_01_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,5.0004,1.0415223682838908,1.6,5.1993,1.0429825380329802,1.534,0.140196,0.191,0.81081,1,
MEAN_SHIFT_01_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,5.0048,1.0403969012435432,1.6,6.1234,1.0446141976135261,1.237,0.405355,1.0752,0.749555,1,
MEAN_SHIFT_01_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,4.9985,1.044464780821681,1.595,7.3418,1.0363124931635603,0.855,-0.780523,2.2435,0.705441,1,
MEAN_SHIFT_02_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,5.0035,1.0440864158741885,1.595,5.201,1.039681437650169,1.539,-0.421898,0.1892,0.841509,1,
MEAN_SHIFT_02_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,5.0014,1.04314530333503,1.597,6.1193,1.0405822994506215,1.243,-0.2457,1.0717,0.49703,1,
MEAN_SHIFT_02_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,5.0048,1.0442257988980856,1.595,7.3439,1.0379202134421532,0.853,-0.603853,2.24,0.93405,1,
MEAN_SHIFT_03_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,5.0024,1.037862053212872,1.605,5.1993,1.0423472865491619,1.535,0.432161,0.1897,0.568918,1,
MEAN_SHIFT_03_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,5.0005,1.0409781606004305,1.601,6.1215,1.0427580069432947,1.24,0.170978,1.0769,0.889376,1,
MEAN_SHIFT_03_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,4.9998,1.0414572202061427,1.6,7.339,1.0374590497554848,0.855,-0.383902,2.2461,0.928379,1,
MEAN_SHIFT_04_L1,shape,mean_shift,1,차이 거의 없음(미검출),0,0,none,5.003,1.0354083048369613,1.609,5.1969,1.0441070484369275,1.533,0.840127,0.1873,0.782959,1,
MEAN_SHIFT_04_L2,shape,mean_shift,2,검출(임계 소폭 초과),1,1,cpk,4.9972,1.0420051936010255,1.599,6.1225,1.0423988700581008,1.24,0.037781,1.0799,0.978293,1,
MEAN_SHIFT_04_L3,shape,mean_shift,3,심하게 검출,1,1,cpk,4.9996,1.0413453262167836,1.6,7.3409,1.0385437541447762,0.853,-0.269034,2.2483,0.704341,1,
