SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,BIDIR_TAIL_L2_031,BIDIR_TAIL_L3_032,BIDIR_TAIL_L4_033,BIDIR_TAIL_L5_034,CODE_RAIL_L1_060,CODE_RAIL_L2_061,CODE_RAIL_L3_062,CODE_RAIL_L4_063,CODE_RAIL_L5_064,CONSTANT_VALUE_L1_050,CONSTANT_VALUE_L2_051,CONSTANT_VALUE_L3_052,CONSTANT_VALUE_L4_053,CONSTANT_VALUE_L5_054,EQUIPMENT_SUSPECT_L1_055,EQUIPMENT_SUSPECT_L2_056,EQUIPMENT_SUSPECT_L3_057,EQUIPMENT_SUSPECT_L4_058,EQUIPMENT_SUSPECT_L5_059,HEAVY_TAIL_L1_035,HEAVY_TAIL_L2_036,HEAVY_TAIL_L3_037,HEAVY_TAIL_L4_038,HEAVY_TAIL_L5_039,LOW_SAMPLE_UNCERTAIN_L1_070,LOW_SAMPLE_UNCERTAIN_L2_071,LOW_SAMPLE_UNCERTAIN_L3_072,LOW_SAMPLE_UNCERTAIN_L4_073,LOW_SAMPLE_UNCERTAIN_L5_074,MISSING_LIMIT_L1_065,MISSING_LIMIT_L2_066,MISSING_LIMIT_L3_067,MISSING_LIMIT_L4_068,MISSING_LIMIT_L5_069,MIX2_MEANSHIFT-OUTWARN_L1_115,MIX2_MEANSHIFT-OUTWARN_L2_116,MIX2_MEANSHIFT-OUTWARN_L3_117,MIX2_MEANSHIFT-OUTWARN_L4_118,MIX2_MEANSHIFT-OUTWARN_L5_119,MIX2_WIDE-SEVOUT_L1_105,MIX2_WIDE-SEVOUT_L2_106,MIX2_WIDE-SEVOUT_L3_107,MIX2_WIDE-SEVOUT_L4_108,MIX2_WIDE-SEVOUT_L5_109,MIX2_WIDE-SUBPOP_L1_110,MIX2_WIDE-SUBPOP_L2_111,MIX2_WIDE-SUBPOP_L3_112,MIX2_WIDE-SUBPOP_L4_113,MIX2_WIDE-SUBPOP_L5_114,SUBPOP_GAP_L1_040,SUBPOP_GAP_L2_041,SUBPOP_GAP_L3_042,SUBPOP_GAP_L4_043,SUBPOP_GAP_L5_044,TAIL_RISK_L1_045,TAIL_RISK_L2_046,TAIL_RISK_L3_047,TAIL_RISK_L4_048,TAIL_RISK_L5_049,MIX2_GROSS-WIDE_L3_172
TSEQ,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
TNO,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
STEP,,,,,,,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2,P2
UNIT,,,,,,,V,V,V,V,CODE,CODE,CODE,CODE,CODE,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
HILIM,,,,,,,1.5,1.5,1.5,1.5,63,63,63,63,63,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
LOLIM,,,,,,,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
C000000,1,1,0,-28,2,60,-0.437792,1.07277,1.72841,-1.98728,20,38,20,0,31,1.00004,1,1.25,1.5,1.75,0.967614,0.967543,0.999658,0.988725,0.989939,0.980638,0.964968,0.975222,0.973951,1.01104,,,,,,1.0185,0.995906,0.960186,1.04799,0.925009,0.985336,0.823938,0.763374,0.617413,0.560264,0.932419,1.19435,0.90808,0.238098,11.7099,1.01685,0.406522,2.51815,-1.61607,7.27943,0.944192,0.902018,0.833519,1.21409,1.36455,1.19943,1.10214,0.847656,1.51552,2.23118,0.711115
C000001,1,2,-7,-27,2,60,0.49705,0.666995,2.05736,7.03785,29,43,33,50,0,0.999999,1,1.25,1.5,1.75,1.00806,1.03175,1.01477,1.00291,0.423704,0.989135,1.00837,0.957422,0.911678,0.998136,,,,,,1.08674,1.01012,0.99789,0.968448,0.961778,0.932218,0.798737,0.738564,0.658312,0.585107,0.957535,0.642871,1.36044,1.24407,-0.717918,1.03517,1.64832,2.03195,3.40862,1.90462,0.94916,1.0187,1.23001,1.21047,1.0539,0.768791,0.631159,1.13394,0.840343,0.933128,0.938641
C000002,1,3,-6,-27,2,60,0.164187,0.785289,-0.40033,-0.242904,37,28,25,0,63,0.999861,1,1.25,1.5,1.75,0.984816,0.980622,1.01447,0.719632,1.37097,0.995365,1.0181,0.945512,0.951435,0.997391,,,,,,0.903373,0.988346,1.01607,0.956588,0.982525,0.947896,0.888575,0.789842,0.661112,0.560895,1.14532,1.0818,1.03542,5.80977,10.039,1.11444,0.650327,2.04144,-0.918769,7.62066,0.948292,1.19556,0.822609,0.729805,1.3557,0.883082,0.940276,1.44726,1.53175,0.977887,0.693997
C000003,1,4,-5,-27,2,50,1.52121,1.24813,2.56932,2.68312,48,36,43,63,0,0.999953,1,1.25,1.5,1.75,1.01966,0.997243,1.02479,0.998795,1.13393,1.01924,1.03603,1.04473,1.00132,1.04351,,,,,,0.960178,1.01202,0.926645,0.994273,1.06108,0.872116,0.873617,0.765452,0.673658,0.528675,0.999816,1.127,0.26116,5.79696,1.43693,0.850515,0.567105,2.15124,2.2154,1.74952,1.073,1.12753,1.15868,1.25543,1.40095,1.00865,0.685432,1.49349,0.879195,0.771223,0.950736
C000004,2,1,-4,-27,2,57,0.470241,-0.751016,0.349123,-3.60735,38,20,0,32,38,0.999925,1,1.25,1.5,1.75,0.995397,1.07717,0.984489,1.00907,1.07838,0.987576,1.09088,1.01089,0.990361,1.03105,,,,,,1.05006,1.00037,0.998885,0.985377,0.92455,0.902165,0.796297,0.767819,0.652545,0.545703,0.847061,1.31008,0.815269,1.26505,0.392348,0.974018,1.60936,-0.275152,-1.94936,-4.78871,1.08297,0.935811,0.794229,1.23595,1.407,0.98683,1.24959,0.986639,0.802345,0.949192,1.32167
C000005,2,2,-3,-27,2,40,0.762602,1.47297,1.28079,-3.73172,27,25,31,23,63,0.999795,1,1.25,1.5,1.75,0.971361,1.08427,0.981707,0.975857,1.01682,1.05263,0.965253,1.1009,1.00281,0.988306,,,,,,0.978002,1.08657,0.95121,0.95924,1.07941,0.956066,0.798115,0.801097,0.64219,0.553601,0.991729,2.64499,0.489414,1.09633,1.58886,0.866486,1.26128,1.91141,-1.42634,5.75834,1.09963,1.16584,0.865224,1.22675,0.985133,0.965702,1.22231,1.62875,0.879816,0.953886,0.695251
C000006,2,3,-2,-27,2,60,1.93347,0.984292,-0.251865,4.37553,30,36,27,16,63,0.999999,1,1.25,1.5,1.75,0.984179,0.993483,1.0155,0.981712,0.96569,0.994601,0.939847,0.94251,0.969314,1.09207,,,,,,0.974103,1.05233,1.08634,0.917015,1.04021,0.954515,0.805738,0.756302,0.682254,0.580797,0.928223,0.805106,1.50953,0.285975,2.43369,0.88974,0.356596,0.145766,3.49873,8.75872,0.959896,1.11433,1.13697,0.757815,0.687045,0.853446,0.869519,0.931645,0.765828,1.91868,0.813537
C000007,2,4,-1,-27,2,60,0.895733,1.99835,3.31419,4.08214,20,27,36,39,63,1.00013,1,1.25,1.5,1.75,1.02763,1.0585,0.917488,0.974392,0.977711,0.976233,1.01188,1.08058,0.996731,0.951002,,,,,,0.969061,1.00551,1.03001,1.02098,1.05832,0.951581,0.796007,0.757394,0.62583,0.533747,0.887281,0.864299,1.14341,0.323412,-8.22564,1.05306,1.31951,-0.348394,-1.06332,-6.47771,1.05359,1.01296,1.19537,1.23671,1.07915,0.917284,0.907801,1.47765,1.0776,0.722736,0.783279
C000008,3,1,0,-27,2,60,1.85488,1.12654,0.400497,-6.95053,41,40,63,45,29,0.999985,1,1.25,1.5,1.75,1.01608,1.02448,1.04469,0.661508,0.994153,1.03061,1.23823,1.07187,0.884895,1.00752,,,,,,1.02546,1.07928,0.933858,1.12781,1.02989,0.920702,0.790784,0.771936,0.632912,0.608723,1.01845,1.13502,1.709,1.10364,0.134012,1.06432,0.868932,2.44071,-0.643493,-5.57836,0.998949,0.826713,1.20056,1.19642,0.710545,0.845187,0.92869,1.63517,0.910498,0.962258,0.4668
C000009,3,2,1,-27,2,60,0.876457,-0.418905,0.405311,-1.26499,34,35,42,30,40,1.00002,1,1.25,1.5,1.75,1.03037,0.979042,1.07597,1.01084,0.793372,0.952219,0.930499,1.04038,0.967148,1.05064,,,,,,1.01659,0.97992,0.97101,1.01331,0.923686,0.927356,0.864822,0.735383,0.623991,0.543192,1.16094,0.849866,0.659322,1.29641,0.379289,1.00912,1.34357,1.96862,-1.75751,3.06749,0.96865,0.889461,1.17938,1.27295,1.32755,0.785496,0.938845,1.28498,0.807622,2.00774,1.24209
